UpperD_m,Longitude,MeanTemperatureofWarmestQuarter,SoilTypeWRB,SiltContent,BulkDensity,AnnualMeanTemperature,SoilOrganicCarbon,Isothermality,PrecipitationofDriestQuarter
0.0,-106.0,17.08333396911621,1.4735732651134856,0.38,0.82,2.020833253860474,0.059,25.33687973022461,45.0
0.0,-106.0,17.08333396911621,1.7443530861867957,0.39,0.81,2.020833253860474,0.052,25.33687973022461,45.0
0.0,-106.0,17.08333396911621,1.8467601437335366,0.34,1.11,2.020833253860474,0.036,25.33687973022461,45.0
0.005,-8.5,22.26666641235352,1.4735732651134856,0.279,1.48817,16.46249961853027,0.073256,43.70451354980469,32.0
0.005,-8.5,22.26666641235352,1.8415462844815762,0.279,1.4626379706599995,16.46249961853027,0.073256,43.70451354980469,32.0
0.005,-8.5,22.26666641235352,1.852073563248596,0.279,1.4552926894799996,16.46249961853027,0.073256,43.70451354980469,32.0
0.005,-8.5,22.26666641235352,1.8350086359133997,0.279,1.43809268948,16.46249961853027,0.073256,43.70451354980469,32.0
0.005,-8.5,22.26666641235352,1.8568205224390546,0.279,1.4355926894799997,16.46249961853027,0.073256,43.70451354980469,32.0
0.005,-8.5,22.26666641235352,1.8835222409902894,0.279,1.4344299999999996,16.46249961853027,0.073256,43.70451354980469,32.0
0.005,-8.5,22.26666641235352,1.847273861384126,0.279,1.4331099999999994,16.46249961853027,0.073256,43.70451354980469,32.0
0.005,-8.5,22.26666641235352,1.8165348457384944,0.279,1.4436199999999997,16.46249961853027,0.073256,43.70451354980469,32.0
0.005,-8.5,22.26666641235352,1.806041849516613,0.279,1.43759,16.46249961853027,0.073256,43.70451354980469,32.0
0.005,-8.5,22.26666641235352,1.8058444689649646,0.279,1.4370926894799998,16.46249961853027,0.073256,43.70451354980469,32.0
0.0,-1.0,25.45000076293945,1.4735732651134856,0.4292,1.42,17.8791675567627,0.0062209,41.60561370849609,31.0
0.0,-1.0,25.45000076293945,1.6973201822447437,0.4292,1.36,17.8791675567627,0.0062209,41.60561370849609,31.0
0.12,1.8,17.68333435058594,1.4735732651134856,0.783,1.3265540097899993,10.57499980926514,0.010291,35.87105560302734,140.0
