SoilTypeWRB,AnnualPrecipitation,SoilOrganicCarbon,MeanTemperatureofDriestQuarter,BulkDensity,Longitude,Season_sin,MeanTemperatureofWarmestQuarter,PrecipitationofColdestQuarter,SoilTextureUSDA,AnnualMeanTemperature,Isothermality,PrecipitationofDriestQuarter,MeanDiurnalRange,UpperD_m,SiltContent,AverageAridityIndex
1.2621258000467888,397.0,0.059,-12.43333339691162,0.82,-106.0,0.8660254037844387,17.08333396911621,45.0,1.2621258000467888,2.020833253860474,25.33687973022461,45.0,11.90833377838135,0.0,0.38,0.0413
1.4811166903917603,397.0,0.052,-12.43333339691162,0.81,-106.0,0.8660254037844387,17.08333396911621,45.0,1.4811166903917603,2.020833253860474,25.33687973022461,45.0,11.90833377838135,0.0,0.39,0.0413
1.542316004894806,397.0,0.036,-12.43333339691162,1.11,-106.0,0.8660254037844387,17.08333396911621,45.0,1.542316004894806,2.020833253860474,25.33687973022461,45.0,11.90833377838135,0.0,0.34,0.0413
1.2621258000467888,692.0,0.073256,21.98333358764648,1.3362275305599993,-8.5,0.0,22.26666641235352,289.0,1.2621258000467888,16.46249961853027,43.70451354980469,32.0,10.00833320617676,0.005,0.279,0.0458
1.544668483151566,692.0,0.073256,21.98333358764648,1.3089546210399996,-8.5,0.0,22.26666641235352,289.0,1.544668483151566,16.46249961853027,43.70451354980469,32.0,10.00833320617676,0.005,0.279,0.0458
1.5638459544432528,692.0,0.073256,21.98333358764648,1.2549047188300002,-8.5,0.8660254037844387,22.26666641235352,289.0,1.5638459544432528,16.46249961853027,43.70451354980469,32.0,10.00833320617676,0.005,0.279,0.0458
1.553363917154949,692.0,0.073256,21.98333358764648,1.25650471883,-8.5,0.8660254037844387,22.26666641235352,289.0,1.553363917154949,16.46249961853027,43.70451354980469,32.0,10.00833320617676,0.005,0.279,0.0458
1.5472163335679203,692.0,0.073256,21.98333358764648,1.25188491443,-8.5,0.8660254037844387,22.26666641235352,289.0,1.5472163335679203,16.46249961853027,43.70451354980469,32.0,10.00833320617676,0.005,0.279,0.0458
1.5824043643002728,692.0,0.073256,21.98333358764648,1.2293767481699998,-8.5,0.0,22.26666641235352,289.0,1.5824043643002728,16.46249961853027,43.70451354980469,32.0,10.00833320617676,0.005,0.279,0.0458
1.5440183286747309,692.0,0.073256,21.98333358764648,1.2291867481699996,-8.5,0.0,22.26666641235352,289.0,1.5440183286747309,16.46249961853027,43.70451354980469,32.0,10.00833320617676,0.005,0.279,0.0458
1.5094183428268466,692.0,0.073256,21.98333358764648,1.24707674817,-8.5,0.8660254037844387,22.26666641235352,289.0,1.5094183428268466,16.46249961853027,43.70451354980469,32.0,10.00833320617676,0.005,0.279,0.0458
1.4979292299438827,692.0,0.073256,21.98333358764648,1.2533867481699998,-8.5,0.8660254037844387,22.26666641235352,289.0,1.4979292299438827,16.46249961853027,43.70451354980469,32.0,10.00833320617676,0.005,0.279,0.0458
1.4906133342662393,692.0,0.073256,21.98333358764648,1.2502867481699997,-8.5,0.8660254037844387,22.26666641235352,289.0,1.4906133342662393,16.46249961853027,43.70451354980469,32.0,10.00833320617676,0.005,0.279,0.0458
1.2621258000467888,303.0,0.0062209,25.26666641235352,1.42,-1.0,-0.01732050807568883,25.45000076293945,73.0,1.449586040493226,17.8791675567627,41.60561370849609,31.0,11.35833358764648,0.0,0.4292,0.0177
1.5407779743449135,303.0,0.0062209,25.26666641235352,1.36,-1.0,-0.008660254037844452,25.45000076293945,73.0,1.5235548621231882,17.8791675567627,41.60561370849609,31.0,11.35833358764648,0.0,0.4292,0.0177
1.2621258000467888,621.0,0.010291,6.666666507720947,1.2393033985299995,1.8,-2.449293598294706e-16,17.68333435058594,155.0,1.2621258000467888,10.57499980926514,35.87105560302734,140.0,8.716666221618652,0.12,0.783,0.0648
1.1280059822845678,621.0,0.010872,6.666666507720947,1.2596636185799996,1.8,-2.449293598294706e-16,17.68333435058594,155.0,1.1280059822845678,10.57499980926514,35.87105560302734,140.0,8.716666221618652,0.12,0.746,0.0648
1.0737404293438404,621.0,0.010814,6.666666507720947,1.284245158919999,1.8,-2.449293598294706e-16,17.68333435058594,155.0,1.2621258000467888,10.57499980926514,35.87105560302734,140.0,8.716666221618652,0.1,0.663,0.0648
0.9410521141130801,621.0,0.010291,6.666666507720947,1.3339213447399991,1.8,0.0,17.68333435058594,155.0,1.0737404293438406,10.57499980926514,35.87105560302734,140.0,8.716666221618652,0.12,0.783,0.0648
0.9590302538140122,621.0,0.010291,6.666666507720947,1.3614413447399993,1.8,-0.8660254037844385,17.68333435058594,155.0,1.0630410251623155,10.57499980926514,35.87105560302734,140.0,8.716666221618652,0.12,0.783,0.0648
0.9186240029800495,621.0,0.0057,6.666666507720947,1.3625513447399995,1.8,0.0,17.68333435058594,155.0,1.574665831367052,10.57499980926514,35.87105560302734,140.0,8.716666221618652,0.3,0.468,0.0648
0.9555040623617438,621.0,0.0057,6.666666507720947,1.3889613447400004,1.8,-0.8660254037844385,17.68333435058594,155.0,1.5178256295506027,10.57499980926514,35.87105560302734,140.0,8.716666221618652,0.3,0.468,0.0648
1.2621258000467888,470.0,0.01,3.116666555404663,1.18,-102.0,0.8660254037844387,24.39999961853027,36.0,0.9025564842337938,13.72500038146973,41.58163452148438,36.0,16.29999923706055,0.0,0.30260401996999975,0.0216
1.589306455818198,470.0,0.013,3.116666555404663,1.25,-102.0,0.8660254037844387,24.39999961853027,36.0,1.2405333600190647,13.72500038146973,41.58163452148438,36.0,16.29999923706055,0.0,0.2885040199699998,0.0216
