AverageAridityIndex,Longitude,MeanTemperatureofDriestQuarter,SoilOrganicCarbon,MeanDiurnalRange,UpperD_m,SiltContent,SoilTypeWRB,BulkDensity,Season_sin,AnnualPrecipitation,AnnualMeanTemperature,PrecipitationofDriestQuarter,Isothermality
0.0413,-106.0,-12.43333339691162,0.059,11.90833377838135,0.0,0.38,1.2621258000467888,0.82,0.8660254037844387,397.0,2.020833253860474,45.0,25.33687973022461
0.0413,-106.0,-12.43333339691162,0.052,11.90833377838135,0.0,0.39,1.4811166903917603,0.81,0.8660254037844387,397.0,2.020833253860474,45.0,25.33687973022461
0.0413,-106.0,-12.43333339691162,0.036,11.90833377838135,0.0,0.34,1.542316004894806,1.11,0.8660254037844387,397.0,2.020833253860474,45.0,25.33687973022461
0.0458,-8.5,21.98333358764648,0.073256,10.00833320617676,0.005,0.279,1.2621258000467888,1.3362275305599995,0.0,692.0,16.46249961853027,32.0,43.70451354980469
0.0458,-8.5,21.98333358764648,0.073256,10.00833320617676,0.005,0.279,1.544668483151566,1.3089546210399996,0.0,692.0,16.46249961853027,32.0,43.70451354980469
0.0458,-8.5,21.98333358764648,0.073256,10.00833320617676,0.005,0.279,1.5638459544432528,1.25490471883,0.8660254037844387,692.0,16.46249961853027,32.0,43.70451354980469
0.0458,-8.5,21.98333358764648,0.073256,10.00833320617676,0.005,0.279,1.553363917154949,1.25650471883,0.8660254037844387,692.0,16.46249961853027,32.0,43.70451354980469
0.0458,-8.5,21.98333358764648,0.073256,10.00833320617676,0.005,0.279,1.5472163335679203,1.25188491443,0.8660254037844387,692.0,16.46249961853027,32.0,43.70451354980469
0.0458,-8.5,21.98333358764648,0.073256,10.00833320617676,0.005,0.279,1.5824043643002728,1.2293767481699998,0.0,692.0,16.46249961853027,32.0,43.70451354980469
0.0458,-8.5,21.98333358764648,0.073256,10.00833320617676,0.005,0.279,1.5440183286747309,1.2291867481699998,0.0,692.0,16.46249961853027,32.0,43.70451354980469
0.0458,-8.5,21.98333358764648,0.073256,10.00833320617676,0.005,0.279,1.5094183428268466,1.24707674817,0.8660254037844387,692.0,16.46249961853027,32.0,43.70451354980469
0.0458,-8.5,21.98333358764648,0.073256,10.00833320617676,0.005,0.279,1.4979292299438827,1.25338674817,0.8660254037844387,692.0,16.46249961853027,32.0,43.70451354980469
0.0458,-8.5,21.98333358764648,0.073256,10.00833320617676,0.005,0.279,1.4906133342662393,1.2502867481699997,0.8660254037844387,692.0,16.46249961853027,32.0,43.70451354980469
0.0177,-1.0,25.26666641235352,0.0062209,11.35833358764648,0.0,0.4292,1.2621258000467888,1.42,-0.01732050807568883,303.0,17.8791675567627,31.0,41.60561370849609
0.0177,-1.0,25.26666641235352,0.0062209,11.35833358764648,0.0,0.4292,1.5407779743449135,1.36,-0.00866025403784445,303.0,17.8791675567627,31.0,41.60561370849609
0.0648,1.8,6.666666507720947,0.010291,8.716666221618652,0.12,0.783,1.2621258000467888,1.2393033985299995,-2.449293598294706e-16,621.0,10.57499980926514,140.0,35.87105560302734
0.0648,1.8,6.666666507720947,0.010872,8.716666221618652,0.12,0.746,1.1280059822845678,1.2596636185799996,-2.449293598294706e-16,621.0,10.57499980926514,140.0,35.87105560302734
0.0648,1.8,6.666666507720947,0.010814,8.716666221618652,0.1,0.663,1.0737404293438404,1.284245158919999,-2.449293598294706e-16,621.0,10.57499980926514,140.0,35.87105560302734
0.0648,1.8,6.666666507720947,0.010291,8.716666221618652,0.12,0.783,0.9410521141130801,1.3339213447399991,0.0,621.0,10.57499980926514,140.0,35.87105560302734
0.0648,1.8,6.666666507720947,0.010291,8.716666221618652,0.12,0.783,0.9590302538140122,1.3614413447399993,-0.8660254037844385,621.0,10.57499980926514,140.0,35.87105560302734
0.0648,1.8,6.666666507720947,0.0057,8.716666221618652,0.3,0.468,0.9186240029800495,1.36255134474,0.0,621.0,10.57499980926514,140.0,35.87105560302734
0.0648,1.8,6.666666507720947,0.0057,8.716666221618652,0.3,0.468,0.9555040623617438,1.3889613447400004,-0.8660254037844385,621.0,10.57499980926514,140.0,35.87105560302734
0.0216,-102.0,3.116666555404663,0.01,16.29999923706055,0.0,0.30260401996999975,1.2621258000467888,1.18,0.8660254037844387,470.0,13.72500038146973,36.0,41.58163452148438
0.0216,-102.0,3.116666555404663,0.013,16.29999923706055,0.0,0.2885040199699998,1.589306455818198,1.25,0.8660254037844387,470.0,13.72500038146973,36.0,41.58163452148438
0.0216,-102.0,3.116666555404663,0.0225,16.29999923706055,0.0,0.3351306194399999,1.5865792208045584,1.17,0.8660254037844387,470.0,13.72500038146973,36.0,41.58163452148438
0.0216,-102.0,3.116666555404663,0.01,16.29999923706055,0.0,0.2923010208299998,1.588856326597702,1.18,0.8660254037844387,470.0,13.72500038146973,36.0,41.58163452148438
0.0216,-102.0,3.116666555404663,0.013,16.29999923706055,0.0,0.29173313637999987,1.5842458914782476,1.25,0.8660254037844387,470.0,13.72500038146973,36.0,41.58163452148438
0.0216,-102.0,3.116666555404663,0.0225,16.29999923706055,0.0,0.30697149866999984,1.5414851630481363,1.17,0.8660254037844387,470.0,13.72500038146973,36.0,41.58163452148438
0.0216,-102.0,3.116666555404663,0.01,16.29999923706055,0.0,0.2920610208299998,1.5169329557445155,1.18,0.8660254037844387,470.0,13.72500038146973,36.0,41.58163452148438
0.0216,-102.0,3.116666555404663,0.013,16.29999923706055,0.0,0.2918722536599998,1.561330215503025,1.25,0.8660254037844387,470.0,13.72500038146973,36.0,41.58163452148438
