universal R2,median global R2,median local R2
0.6877313489342372,0.7058448799892272,0.6852092471159759
0.6965538270089627,0.6862031095403969,0.6956449620730878
0.6803437832502246,0.6810961692253041,0.7211475554921354
0.7055564708172283,0.6962105009596368,0.7060017860587983
0.7070231862972665,0.7390966283004152,0.7290388458012824
0.7166254148263269,0.7051498418704885,0.7084962001346999
0.7026640941548317,0.6895093699524582,0.68232301426282
0.6922708311365016,0.6848302023235038,0.7051330844057648
0.6880382006125745,0.69603290065143,0.7129496433497191
0.6893303818892504,0.712664166749686,0.6646478027077585
