SoilTypeWRB,AnnualPrecipitation,SoilOrganicCarbon,MeanTemperatureofDriestQuarter,BulkDensity,Longitude,Season_sin,MeanTemperatureofWarmestQuarter,PrecipitationofColdestQuarter,SoilTextureUSDA,AnnualMeanTemperature,Isothermality,PrecipitationofDriestQuarter,MeanDiurnalRange,UpperD_m,SiltContent,AverageAridityIndex
0.15017385994059607,-0.01486468295224401,-0.013596547036897347,-0.09453821960396966,0.22917232478844468,0.04821357573770287,0.05097016332246907,-0.00413558385261574,0.011881832500507061,-0.01166960230503182,0.013704625137203646,-0.06808993428280007,-0.0009425333230238777,0.08271919434610966,0.0886397073026344,0.04173156842305298,-0.012735722103703408
0.0014435642217437514,-0.023636962955185473,-0.021422241080134335,-0.08456678687989358,0.21891818056569037,0.04768366631457674,0.05876171352699605,-0.00528582966894329,0.01580460981466948,0.0208472075941508,0.014732359663215167,-0.06796203353976346,-0.007125031877722333,0.08297179420623672,0.08396875426223166,0.05228689421990138,-0.015189286348926788
-0.08845208173912773,-0.05773390591435143,-0.035610137640947136,-0.0875334063805901,0.050225103914548576,0.03661460090959855,0.05916605063522869,-0.012144513708362328,0.01599406442613761,0.001060433239557021,0.015248343534945613,-0.07505737311596271,-0.013944535038964118,0.07374523878217613,0.08435590487936787,-0.013679303225315846,-0.024445050698577497
0.15888706024265706,0.01526915782130495,0.01143908301731577,0.14679583295232695,0.11995326557961404,0.03956809826322785,0.039640902199421256,-0.0010761164307559763,-0.026205980605409025,-0.0089733440668705,-0.01532068728672122,0.024359078758464277,-0.003514316935542241,-0.0375834393308808,0.06893705642785126,0.014502224896343407,-0.015693759496113225
-0.017066810448367373,0.01776211391026603,-0.020682472669858804,0.13182990779728795,0.11115884383102602,0.035424397854822424,0.024676758998908078,0.0015564145982533849,-0.01739081158562403,-0.013571850963994013,-0.018742477753200974,0.020741288390166836,-0.007268627540107889,-0.03821769876210399,0.05683994554882081,0.012749692104010094,-0.01531601584582527
0.004927293199699572,0.016245092559400827,-0.021779135663589747,0.14184593473619145,0.08231877255935864,0.03448012669676768,0.06573934350996427,0.0016973262465833944,-0.019642072962848145,-0.012783933387645299,-0.017612596652684425,0.027256697743814555,-0.006485738337864471,-0.03965526869000798,0.055602291779860154,0.012465274527914157,-0.015400427788472372
0.004927293199699572,0.016245092559400827,-0.021779135663589747,0.14184593473619145,0.08231877255935864,0.03448012669676768,0.06573934350996427,0.0016973262465833944,-0.019642072962848145,-0.012783933387645299,-0.017612596652684425,0.027256697743814555,-0.006485738337864471,-0.03965526869000798,0.055602291779860154,0.012465274527914157,-0.015400427788472372
0.004927293199699572,0.016245092559400827,-0.019995465193146936,0.14184593473619145,0.09731236850029042,0.03448012669676768,0.07313805028841602,0.0016973262465833944,-0.019642072962848145,-0.012783933387645299,-0.017612596652684425,0.027256697743814555,-0.006485738337864471,-0.03965526869000798,0.055602291779860154,0.012465274527914157,-0.015400427788472372
-0.024382881467568528,0.014143232114308443,-0.03121184064017782,0.13438497809071046,0.07513584274239272,0.031726496312058115,0.015055210418561012,0.0015564145982533849,-0.01955143707576824,-0.013636194464825235,-0.018742477753200974,0.023582812950546084,-0.006565183262247556,-0.041794127275614885,0.05683994554882081,0.013172960605570919,-0.015372625265814639
-0.10923196961841974,0.013640673591437266,-0.026628747806309454,0.13781407726775918,0.0722600198566903,0.02988149172030844,0.015242710210013104,0.0015730406300850997,-0.026778897814312527,-0.012807776195607988,-0.018643568273440887,0.024852614644973535,-0.00960227416254536,-0.042161961664066695,0.05642863918645593,0.01341343333849295,-0.0181899033896843
