SoilTypeWRB,Method,BulkDensity,AnnualPrecipitation,MeanTemperatureofDriestQuarter,SoilOrganicCarbon,MeanDiurnalRange,Longitude,MeanTemperatureofWarmestQuarter,AverageAridityIndex,SoilTextureUSDA
0.8171651209153226,0.8171651209153226,0.82,397.0,-12.43333339691162,0.059,11.90833377838135,-106.0,17.08333396911621,0.0413,0.8171651209153226
0.9760989285802633,0.9760989285802633,0.81,397.0,-12.43333339691162,0.052,11.90833377838135,-106.0,17.08333396911621,0.0413,0.9760989285802633
1.0079939843829855,1.0079939843829855,1.11,397.0,-12.43333339691162,0.036,11.90833377838135,-106.0,17.08333396911621,0.0413,1.0079939843829855
0.8171651209153226,0.8171651209153226,1.2873,692.0,21.98333358764648,0.073256,10.00833320617676,-8.5,22.26666641235352,0.0458,0.8171651209153226
1.0694962733235547,1.0694962733235547,1.23907811736,692.0,21.98333358764648,0.073256,10.00833320617676,-8.5,22.26666641235352,0.0458,1.0694962733235547
1.1276824634600653,1.1276824634600653,1.2316533496300002,692.0,21.98333358764648,0.073256,10.00833320617676,-8.5,22.26666641235352,0.0458,1.1276824634600653
1.1396893652928437,1.1396893652928437,1.2331533496300002,692.0,21.98333358764648,0.073256,10.00833320617676,-8.5,22.26666641235352,0.0458,1.1396893652928437
1.1048534963599546,1.1048534963599546,1.2319533496300001,692.0,21.98333358764648,0.073256,10.00833320617676,-8.5,22.26666641235352,0.0458,1.1048534963599546
1.1030087019083712,1.1030087019083712,1.23135674817,692.0,21.98333358764648,0.073256,10.00833320617676,-8.5,22.26666641235352,0.0458,1.1030087019083712
1.0734167543236208,1.0734167543236208,1.2271467481699998,692.0,21.98333358764648,0.073256,10.00833320617676,-8.5,22.26666641235352,0.0458,1.0734167543236208
1.0424277831227053,1.0424277831227053,1.2266367481700002,692.0,21.98333358764648,0.073256,10.00833320617676,-8.5,22.26666641235352,0.0458,1.0424277831227053
1.0364001784094887,1.0364001784094887,1.22724674817,692.0,21.98333358764648,0.073256,10.00833320617676,-8.5,22.26666641235352,0.0458,1.0364001784094887
1.0250967448078183,1.0250967448078183,1.22724674817,692.0,21.98333358764648,0.073256,10.00833320617676,-8.5,22.26666641235352,0.0458,1.0250967448078183
0.8171651209153226,0.8171651209153226,1.42,303.0,25.26666641235352,0.0062209,11.35833358764648,-1.0,25.45000076293945,0.0177,0.9612977111403991
1.0317808817462804,1.0317808817462804,1.36,303.0,25.26666641235352,0.0062209,11.35833358764648,-1.0,25.45000076293945,0.0177,1.018317497427767
0.8171651209153226,1.0424662361981556,1.2537018092899996,621.0,6.666666507720947,0.010291,8.716666221618652,1.8,17.68333435058594,0.0648,0.8171651209153226
0.47376070389982966,0.9664570737553375,1.2920909535399998,621.0,6.666666507720947,0.010872,8.716666221618652,1.8,17.68333435058594,0.0648,0.47376070389982966
0.40013936955156765,0.9115678143014687,1.3086633496299995,621.0,6.666666507720947,0.010814,8.716666221618652,1.8,17.68333435058594,0.0648,0.8171651209153226
0.2677215981102112,0.8372035621218025,1.3244999999999996,621.0,6.666666507720947,0.010291,8.716666221618652,1.8,17.68333435058594,0.0648,0.40013936955156765
0.25641458017031915,0.7954690918743991,1.3623700000000003,621.0,6.666666507720947,0.010291,8.716666221618652,1.8,17.68333435058594,0.0648,0.35290115426636354
0.2230141679527562,0.749253030311308,1.31736,621.0,6.666666507720947,0.0057,8.716666221618652,1.8,17.68333435058594,0.0648,1.0859849008351348
0.2717202537917257,0.7383532502239101,1.3672200000000005,621.0,6.666666507720947,0.0057,8.716666221618652,1.8,17.68333435058594,0.0648,1.0114094534051932
0.8171651209153226,0.8171651209153226,1.18,470.0,3.116666555404663,0.01,16.29999923706055,-102.0,24.39999961853027,0.0216,0.34381670235073214
1.1712255606359663,1.1712255606359663,1.25,470.0,3.116666555404663,0.013,16.29999923706055,-102.0,24.39999961853027,0.0216,0.7376398016860248
1.1898030465070404,1.1898030465070404,1.17,470.0,3.116666555404663,0.0225,16.29999923706055,-102.0,24.39999961853027,0.0216,0.8599693558268158
1.1450312386253858,1.1450312386253858,1.18,470.0,3.116666555404663,0.01,16.29999923706055,-102.0,24.39999961853027,0.0216,0.8901186476575369
1.151189605261616,1.151189605261616,1.25,470.0,3.116666555404663,0.013,16.29999923706055,-102.0,24.39999961853027,0.0216,0.9377360516823701
1.109638954902651,1.109638954902651,1.17,470.0,3.116666555404663,0.0225,16.29999923706055,-102.0,24.39999961853027,0.0216,0.9326145733145783
1.082540173480895,1.082540173480895,1.18,470.0,3.116666555404663,0.01,16.29999923706055,-102.0,24.39999961853027,0.0216,0.9310311872690509
1.1364682745743022,1.1364682745743022,1.25,470.0,3.116666555404663,0.013,16.29999923706055,-102.0,24.39999961853027,0.0216,0.9958016089311733
1.1091324417359198,1.1091324417359198,1.17,470.0,3.116666555404663,0.0225,16.29999923706055,-102.0,24.39999961853027,0.0216,0.985266025940942
0.8171651209153226,0.7241012040733122,1.3031100000000004,990.0,-6.849999904632568,0.0216,10.32499980926514,-75.0,19.29999923706055,0.104,0.9452103241686877
0.5244791363525989,0.6981902539531313,1.3508483129599997,990.0,-6.849999904632568,0.0216,10.32499980926514,-75.0,19.29999923706055,0.104,0.8659417494599306
0.29798227450690373,0.6507589776369084,1.37,811.0,-7.583333492279053,0.0052326,11.94166660308838,-89.5,20.16666603088379,0.07880000000000001,0.8171651209153226
0.4146306998558773,0.6839522693040873,1.57,811.0,-7.583333492279053,0.0046512,11.94166660308838,-89.5,20.16666603088379,0.07880000000000001,1.0824916117814944
