SoilTypeWRB,AnnualPrecipitation,UpperD_m,SiltContent,SoilOrganicCarbon,MeanTemperatureofDriestQuarter,BulkDensity,Longitude,MeanDiurnalRange,AverageAridityIndex,Season_sin,PrecipitationofDriestQuarter,MeanTemperatureofWarmestQuarter
1.2621258000467888,397.0,0.0,0.38,0.059,-12.43333339691162,0.82,-106.0,11.90833377838135,0.0413,0.8660254037844387,45.0,17.08333396911621
1.4811166903917603,397.0,0.0,0.39,0.052,-12.43333339691162,0.81,-106.0,11.90833377838135,0.0413,0.8660254037844387,45.0,17.08333396911621
1.542316004894806,397.0,0.0,0.34,0.036,-12.43333339691162,1.11,-106.0,11.90833377838135,0.0413,0.8660254037844387,45.0,17.08333396911621
1.2621258000467888,692.0,0.005,0.279,0.073256,21.98333358764648,1.3362275305599993,-8.5,10.00833320617676,0.0458,0.0,32.0,22.26666641235352
1.544668483151566,692.0,0.005,0.279,0.073256,21.98333358764648,1.3089546210399996,-8.5,10.00833320617676,0.0458,0.0,32.0,22.26666641235352
1.5638459544432528,692.0,0.005,0.279,0.073256,21.98333358764648,1.2549047188300002,-8.5,10.00833320617676,0.0458,0.8660254037844387,32.0,22.26666641235352
1.553363917154949,692.0,0.005,0.279,0.073256,21.98333358764648,1.25650471883,-8.5,10.00833320617676,0.0458,0.8660254037844387,32.0,22.26666641235352
1.5472163335679203,692.0,0.005,0.279,0.073256,21.98333358764648,1.25188491443,-8.5,10.00833320617676,0.0458,0.8660254037844387,32.0,22.26666641235352
1.5824043643002728,692.0,0.005,0.279,0.073256,21.98333358764648,1.2293767481699998,-8.5,10.00833320617676,0.0458,0.0,32.0,22.26666641235352
1.5440183286747309,692.0,0.005,0.279,0.073256,21.98333358764648,1.2291867481699996,-8.5,10.00833320617676,0.0458,0.0,32.0,22.26666641235352
1.5094183428268466,692.0,0.005,0.279,0.073256,21.98333358764648,1.24707674817,-8.5,10.00833320617676,0.0458,0.8660254037844387,32.0,22.26666641235352
1.4979292299438827,692.0,0.005,0.279,0.073256,21.98333358764648,1.2533867481699998,-8.5,10.00833320617676,0.0458,0.8660254037844387,32.0,22.26666641235352
1.4906133342662393,692.0,0.005,0.279,0.073256,21.98333358764648,1.2502867481699997,-8.5,10.00833320617676,0.0458,0.8660254037844387,32.0,22.26666641235352
1.2621258000467888,303.0,0.0,0.4292,0.0062209,25.26666641235352,1.42,-1.0,11.35833358764648,0.0177,-0.01732050807568883,31.0,25.45000076293945
1.5407779743449135,303.0,0.0,0.4292,0.0062209,25.26666641235352,1.36,-1.0,11.35833358764648,0.0177,-0.008660254037844452,31.0,25.45000076293945
1.2621258000467888,621.0,0.12,0.783,0.010291,6.666666507720947,1.2393033985299995,1.8,8.716666221618652,0.0648,-2.449293598294706e-16,140.0,17.68333435058594
1.1280059822845678,621.0,0.12,0.746,0.010872,6.666666507720947,1.2596636185799996,1.8,8.716666221618652,0.0648,-2.449293598294706e-16,140.0,17.68333435058594
1.0737404293438404,621.0,0.1,0.663,0.010814,6.666666507720947,1.284245158919999,1.8,8.716666221618652,0.0648,-2.449293598294706e-16,140.0,17.68333435058594
0.9410521141130801,621.0,0.12,0.783,0.010291,6.666666507720947,1.3339213447399991,1.8,8.716666221618652,0.0648,0.0,140.0,17.68333435058594
0.9590302538140122,621.0,0.12,0.783,0.010291,6.666666507720947,1.3614413447399993,1.8,8.716666221618652,0.0648,-0.8660254037844385,140.0,17.68333435058594
0.9186240029800495,621.0,0.3,0.468,0.0057,6.666666507720947,1.3625513447399995,1.8,8.716666221618652,0.0648,0.0,140.0,17.68333435058594
0.9555040623617438,621.0,0.3,0.468,0.0057,6.666666507720947,1.3889613447400004,1.8,8.716666221618652,0.0648,-0.8660254037844385,140.0,17.68333435058594
1.2621258000467888,470.0,0.0,0.30260401996999975,0.01,3.116666555404663,1.18,-102.0,16.29999923706055,0.0216,0.8660254037844387,36.0,24.39999961853027
1.589306455818198,470.0,0.0,0.2885040199699998,0.013,3.116666555404663,1.25,-102.0,16.29999923706055,0.0216,0.8660254037844387,36.0,24.39999961853027
1.5865792208045584,470.0,0.0,0.33513061943999994,0.0225,3.116666555404663,1.17,-102.0,16.29999923706055,0.0216,0.8660254037844387,36.0,24.39999961853027
1.588856326597702,470.0,0.0,0.29230102082999976,0.01,3.116666555404663,1.18,-102.0,16.29999923706055,0.0216,0.8660254037844387,36.0,24.39999961853027
1.5842458914782476,470.0,0.0,0.29173313637999987,0.013,3.116666555404663,1.25,-102.0,16.29999923706055,0.0216,0.8660254037844387,36.0,24.39999961853027
1.5414851630481363,470.0,0.0,0.3069714986699999,0.0225,3.116666555404663,1.17,-102.0,16.29999923706055,0.0216,0.8660254037844387,36.0,24.39999961853027
1.5169329557445155,470.0,0.0,0.29206102082999974,0.01,3.116666555404663,1.18,-102.0,16.29999923706055,0.0216,0.8660254037844387,36.0,24.39999961853027
1.561330215503025,470.0,0.0,0.2918722536599998,0.013,3.116666555404663,1.25,-102.0,16.29999923706055,0.0216,0.8660254037844387,36.0,24.39999961853027
1.535866770414161,470.0,0.0,0.3069714986699999,0.0225,3.116666555404663,1.17,-102.0,16.29999923706055,0.0216,0.8660254037844387,36.0,24.39999961853027
1.2621258000467888,990.0,0.05,0.52,0.0216,-6.849999904632568,1.3705138141799993,-75.0,10.32499980926514,0.104,0.8660254037844387,197.0,19.29999923706055
1.0991363501696274,990.0,0.05,0.52,0.0216,-6.849999904632568,1.3882404645499997,-75.0,10.32499980926514,0.104,0.8660254037844387,197.0,19.29999923706055
