universal R2,median global R2,median local R2
0.67799614348072,0.6832901992792895,0.6798773043014881
0.6853580740987995,0.7084152209552811,0.6936826186032917
0.6680998695382989,0.7045737156487613,0.6496515903270483
0.711114489386601,0.6946107660359182,0.6925982914989364
0.6972132571455527,0.7245280719420729,0.6846356890499881
0.6914309849303344,0.7450728346155198,0.7067196474391602
0.7076558157323942,0.7058343275441684,0.7233945029779398
0.6958796268713069,0.7369843069903048,0.7189533848510863
0.6864792720652878,0.6942839019303018,0.6824483648194439
0.6772730032936427,0.6725254851671243,0.6675375646589055
