study1_num_leaves,study1_min_child_samples,study1_min_split_gain,study1_val,study2_num_leaves,study2_min_child_samples,study2_min_split_gain,study2_val,rmse_train,rmse_test,r2_train,r2_test,glob_r2_test
6.0,35.0,0.012740246392462328,0.36563669966890183,15.0,35.0,0.013050493200447363,0.37895447021358464,0.05756408155447229,0.10914694739800995,0.8524537928921108,0.6842597936809353,0.7202384252280406
39.0,40.0,0.010642261684740867,0.3847499496148286,21.0,30.0,0.010441543199960289,0.417700311098824,0.051703474761841846,0.11786622030928673,0.8640415391607257,0.7289078957570492,0.6900612585129363
51.0,30.0,0.01388034902882288,0.4601955974662042,48.0,35.0,0.053455839989510624,0.477728834752171,0.06427319789070494,0.12350996358513064,0.8328593900959861,0.6880845045123507,0.6788158778415677
12.0,30.0,0.011551179900048645,0.3579681236997682,18.0,40.0,0.011481787912576648,0.3975179925071842,0.06098240050515327,0.07885850642623926,0.8436085607000923,0.7744787533417568,0.797764679335665
42.0,35.0,0.012794389400913687,0.43440057127555043,33.0,30.0,0.010400349968709758,0.4352455162171065,0.052408993979743065,0.11291480869486119,0.8507023372874514,0.8393545883971452,0.6783392363857776
36.0,40.0,0.010532415247930298,0.41033294736284676,12.0,35.0,0.012436606375707003,0.39303434321082364,0.06440976688475299,0.09407362607840913,0.8378639658512599,0.6651847638418307,0.7631923637041551
30.0,35.0,0.010306849735074834,0.3962364285224183,45.0,35.0,0.0199878379504033,0.42282563827749065,0.05775649236643627,0.1262771408642269,0.8545083992434089,0.5553733641650492,0.6819013307328461
9.0,35.0,0.016061910791323453,0.41341681749986575,45.0,35.0,0.019175041452648426,0.43113865829674625,0.05609061611399622,0.07771211923311877,0.8572126324616011,0.7572500146816908,0.8021717410167946
21.0,30.0,0.0174869989804021,0.36834601117997934,15.0,30.0,0.014405432087553365,0.38901191342264285,0.05824283656060718,0.0882933098472822,0.8445851422174222,0.8179151540353734,0.7643986281679586
21.0,35.0,0.02014177441377281,0.3794750366890429,18.0,30.0,0.016648344850810584,0.3968410973785727,0.0433826089595486,0.16496605988773722,0.8916645865543249,0.31983809568156973,0.5880453773744645
