BulkDensity,SoilTypeWRB,Longitude,PrecipitationofColdestQuarter,AnnualMeanTemperature,SiltContent,PrecipitationofDriestQuarter,SoilTextureUSDA,Isothermality,SoilOrganicCarbon
0.82,1.4735732651134856,-106.0,45.0,2.020833253860474,0.38,45.0,1.4735732651134856,25.33687973022461,0.059
0.81,1.7443530861867957,-106.0,45.0,2.020833253860474,0.39,45.0,1.7443530861867957,25.33687973022461,0.052
1.11,1.8467601437335366,-106.0,45.0,2.020833253860474,0.34,45.0,1.8467601437335366,25.33687973022461,0.036
1.48817,1.4735732651134856,-8.5,289.0,16.46249961853027,0.279,32.0,1.4735732651134856,43.70451354980469,0.073256
1.4626379706599995,1.8415462844815762,-8.5,289.0,16.46249961853027,0.279,32.0,1.8415462844815762,43.70451354980469,0.073256
1.4552926894799996,1.852073563248596,-8.5,289.0,16.46249961853027,0.279,32.0,1.852073563248596,43.70451354980469,0.073256
1.43809268948,1.8350086359133997,-8.5,289.0,16.46249961853027,0.279,32.0,1.8350086359133997,43.70451354980469,0.073256
1.4355926894799997,1.8568205224390546,-8.5,289.0,16.46249961853027,0.279,32.0,1.8568205224390546,43.70451354980469,0.073256
1.4344299999999996,1.8835222409902894,-8.5,289.0,16.46249961853027,0.279,32.0,1.8835222409902894,43.70451354980469,0.073256
1.4331099999999994,1.847273861384126,-8.5,289.0,16.46249961853027,0.279,32.0,1.847273861384126,43.70451354980469,0.073256
1.4436199999999997,1.8165348457384944,-8.5,289.0,16.46249961853027,0.279,32.0,1.8165348457384944,43.70451354980469,0.073256
1.43759,1.806041849516613,-8.5,289.0,16.46249961853027,0.279,32.0,1.806041849516613,43.70451354980469,0.073256
1.4370926894799998,1.8058444689649646,-8.5,289.0,16.46249961853027,0.279,32.0,1.8058444689649646,43.70451354980469,0.073256
1.42,1.4735732651134856,-1.0,73.0,17.8791675567627,0.4292,31.0,1.7441457620109524,41.60561370849609,0.0062209
1.36,1.6973201822447437,-1.0,73.0,17.8791675567627,0.4292,31.0,1.779530029483962,41.60561370849609,0.0062209
