SoilTypeWRB,Method,AverageAridityIndex,BulkDensity,PrecipitationofColdestQuarter,AnnualPrecipitation,MeanTemperatureofDriestQuarter,SoilOrganicCarbon,MeanDiurnalRange,Season_sin,MeanTemperatureofWarmestQuarter,Longitude,PrecipitationofDriestQuarter
0.9321215927452601,0.9321215927452601,0.0413,0.82,45.0,397.0,-12.43333339691162,0.059,11.90833377838135,0.8660254037844387,17.08333396911621,-106.0,45.0
1.1023832406686214,1.1023832406686214,0.0413,0.81,45.0,397.0,-12.43333339691162,0.052,11.90833377838135,0.8660254037844387,17.08333396911621,-106.0,45.0
1.1403154586214737,1.1403154586214737,0.0413,1.11,45.0,397.0,-12.43333339691162,0.036,11.90833377838135,0.8660254037844387,17.08333396911621,-106.0,45.0
0.9321215927452601,0.9321215927452601,0.0458,1.3377029095399993,289.0,692.0,21.98333358764648,0.073256,10.00833320617676,0.0,22.26666641235352,-8.5,32.0
1.1885122998140585,1.1885122998140585,0.0458,1.2954920537899997,289.0,692.0,21.98333358764648,0.073256,10.00833320617676,0.0,22.26666641235352,-8.5,32.0
1.2360994660206404,1.2360994660206404,0.0458,1.2878420537899995,289.0,692.0,21.98333358764648,0.073256,10.00833320617676,0.8660254037844387,22.26666641235352,-8.5,32.0
1.242080037388874,1.242080037388874,0.0458,1.2839420537899997,289.0,692.0,21.98333358764648,0.073256,10.00833320617676,0.8660254037844387,22.26666641235352,-8.5,32.0
1.2139008124709394,1.2139008124709394,0.0458,1.2842420537899997,289.0,692.0,21.98333358764648,0.073256,10.00833320617676,0.8660254037844387,22.26666641235352,-8.5,32.0
1.2208547407790495,1.2208547407790495,0.0458,1.2847720537899996,289.0,692.0,21.98333358764648,0.073256,10.00833320617676,0.0,22.26666641235352,-8.5,32.0
1.1889641486076463,1.1889641486076463,0.0458,1.2820420537899997,289.0,692.0,21.98333358764648,0.073256,10.00833320617676,0.0,22.26666641235352,-8.5,32.0
1.1569780200283573,1.1569780200283573,0.0458,1.2819303667499997,289.0,692.0,21.98333358764648,0.073256,10.00833320617676,0.8660254037844387,22.26666641235352,-8.5,32.0
1.1495287699765444,1.1495287699765444,0.0458,1.28125036675,289.0,692.0,21.98333358764648,0.073256,10.00833320617676,0.8660254037844387,22.26666641235352,-8.5,32.0
1.1391231342766361,1.1391231342766361,0.0458,1.2804603667499999,289.0,692.0,21.98333358764648,0.073256,10.00833320617676,0.8660254037844387,22.26666641235352,-8.5,32.0
0.9321215927452601,0.9321215927452601,0.0177,1.42,73.0,303.0,25.26666641235352,0.0062209,11.35833358764648,0.008660254037844319,25.45000076293945,-1.0,31.0
1.1590342777751406,1.1590342777751406,0.0177,1.36,73.0,303.0,25.26666641235352,0.0062209,11.35833358764648,-6.261923703332123e-17,25.45000076293945,-1.0,31.0
0.9321215927452601,1.1640989963046287,0.0648,1.2385809779899994,155.0,621.0,6.666666507720947,0.010291,8.716666221618652,-2.449293598294706e-16,17.68333435058594,1.8,140.0
0.6363863458935879,1.0954783381994024,0.0648,1.2668142298299994,155.0,621.0,6.666666507720947,0.010872,8.716666221618652,-2.449293598294706e-16,17.68333435058594,1.8,140.0
0.5663794502113738,1.0440081320953674,0.0648,1.2814683129599993,155.0,621.0,6.666666507720947,0.010814,8.716666221618652,-2.449293598294706e-16,17.68333435058594,1.8,140.0
0.43334621931899464,0.9718823031344023,0.0648,1.3477299999999999,155.0,621.0,6.666666507720947,0.010291,8.716666221618652,0.0,17.68333435058594,1.8,140.0
0.4288411919065629,0.9344782217425646,0.0648,1.3759099999999997,155.0,621.0,6.666666507720947,0.010291,8.716666221618652,-0.8660254037844385,17.68333435058594,1.8,140.0
0.39351480759685126,0.8896285132616726,0.0648,1.33879,155.0,621.0,6.666666507720947,0.0057,8.716666221618652,0.0,17.68333435058594,1.8,140.0
0.4391838635080912,0.8792502594801349,0.0648,1.3766600000000002,155.0,621.0,6.666666507720947,0.0057,8.716666221618652,-0.8660254037844385,17.68333435058594,1.8,140.0
0.9321215927452601,0.9321215927452601,0.0216,1.18,36.0,470.0,3.116666555404663,0.01,16.29999923706055,0.8660254037844387,24.39999961853027,-102.0,36.0
1.2849116071354842,1.2849116071354842,0.0216,1.25,36.0,470.0,3.116666555404663,0.013,16.29999923706055,0.8660254037844387,24.39999961853027,-102.0,36.0
1.294343704636472,1.294343704636472,0.0216,1.17,36.0,470.0,3.116666555404663,0.0225,16.29999923706055,0.8660254037844387,24.39999961853027,-102.0,36.0
1.2590511444066075,1.2590511444066075,0.0216,1.18,36.0,470.0,3.116666555404663,0.01,16.29999923706055,0.8660254037844387,24.39999961853027,-102.0,36.0
1.2613998730793017,1.2613998730793017,0.0216,1.25,36.0,470.0,3.116666555404663,0.013,16.29999923706055,0.8660254037844387,24.39999961853027,-102.0,36.0
1.2187631332070545,1.2187631332070545,0.0216,1.17,36.0,470.0,3.116666555404663,0.0225,16.29999923706055,0.8660254037844387,24.39999961853027,-102.0,36.0
1.1917192017461298,1.1917192017461298,0.0216,1.18,36.0,470.0,3.116666555404663,0.01,16.29999923706055,0.8660254037844387,24.39999961853027,-102.0,36.0
1.2429023021646268,1.2429023021646268,0.0216,1.25,36.0,470.0,3.116666555404663,0.013,16.29999923706055,0.8660254037844387,24.39999961853027,-102.0,36.0
1.21569270381909,1.21569270381909,0.0216,1.17,36.0,470.0,3.116666555404663,0.0225,16.29999923706055,0.8660254037844387,24.39999961853027,-102.0,36.0
