SiltContent,SoilOrganicCarbon,BulkDensity,Isothermality,Longitude,SoilTextureUSDA,PrecipitationofDriestQuarter,SoilTypeWRB,AnnualMeanTemperature
0.38,0.059,0.82,25.33687973022461,-106.0,1.4735732651134856,45.0,1.4735732651134856,2.020833253860474
0.39,0.052,0.81,25.33687973022461,-106.0,1.7443530861867957,45.0,1.7443530861867957,2.020833253860474
0.34,0.036,1.11,25.33687973022461,-106.0,1.8467601437335366,45.0,1.8467601437335366,2.020833253860474
0.279,0.073256,1.48817,43.70451354980469,-8.5,1.4735732651134856,32.0,1.4735732651134856,16.46249961853027
0.279,0.073256,1.4626379706599995,43.70451354980469,-8.5,1.8415462844815762,32.0,1.8415462844815762,16.46249961853027
0.279,0.073256,1.4552926894799996,43.70451354980469,-8.5,1.852073563248596,32.0,1.852073563248596,16.46249961853027
0.279,0.073256,1.43809268948,43.70451354980469,-8.5,1.8350086359133997,32.0,1.8350086359133997,16.46249961853027
0.279,0.073256,1.4355926894799997,43.70451354980469,-8.5,1.8568205224390546,32.0,1.8568205224390546,16.46249961853027
0.279,0.073256,1.4344299999999996,43.70451354980469,-8.5,1.8835222409902894,32.0,1.8835222409902894,16.46249961853027
0.279,0.073256,1.4331099999999994,43.70451354980469,-8.5,1.847273861384126,32.0,1.847273861384126,16.46249961853027
0.279,0.073256,1.4436199999999997,43.70451354980469,-8.5,1.8165348457384944,32.0,1.8165348457384944,16.46249961853027
0.279,0.073256,1.43759,43.70451354980469,-8.5,1.806041849516613,32.0,1.806041849516613,16.46249961853027
0.279,0.073256,1.4370926894799998,43.70451354980469,-8.5,1.8058444689649646,32.0,1.8058444689649646,16.46249961853027
0.4292,0.0062209,1.42,41.60561370849609,-1.0,1.7441457620109524,31.0,1.4735732651134856,17.8791675567627
0.4292,0.0062209,1.36,41.60561370849609,-1.0,1.779530029483962,31.0,1.6973201822447437,17.8791675567627
0.783,0.010291,1.3265540097899993,35.87105560302734,1.8,1.4735732651134856,140.0,1.4735732651134856,10.57499980926514
0.746,0.010872,1.3239777261699996,35.87105560302734,1.8,1.5603472518662902,140.0,1.5603472518662902,10.57499980926514
0.663,0.010814,1.3176640097899994,35.87105560302734,1.8,1.4735732651134856,140.0,1.541582484708132,10.57499980926514
0.783,0.010291,1.3357540097899994,35.87105560302734,1.8,1.5415824847081323,140.0,1.4191187951102093,10.57499980926514
