Method,Direction,SoilTextureUSDA,SoilTypeWRB,LanduseClass,TillageClass,CropClass,SamplingTimeClass,ContainsCereals,ContainsFallow,ContainsGrassHerbs,ContainsLegume,ContainsMaize,ContainsTreesFruits,ContainsVegetables,Latitude,Longitude,AnnualPrecipitation,PrecipitationofWettestMonth,PrecipitationofDriestMonth,PrecipitationSeasonality,PrecipitationofWettestQuarter,PrecipitationofDriestQuarter,PrecipitationofWarmestQuarter,PrecipitationofColdestQuarter,MeanDiurnalRange,AverageAridityIndex,AverageAnnualEvapoTranspiration,AnnualMeanTemperature,MeanTemperatureofWarmestQuarter,MeanTemperatureofColdestQuarter,Isothermality,TemperatureSeasonality,MaxTemperatureofWarmestMonth,MinTemperatureofColdestMonth,TemperatureAnnualRange,MeanTemperatureofWettestQuarter,MeanTemperatureofDriestQuarter,Season_sin,Season_cos,UpperD_m,Diameter,ClayContent,SiltContent,SandContent,BulkDensity,SoilOrganicCarbon,NbOfCropRotation,ExID,weight,log_K9
0.5114813613299475,0.5114813613299475,0.5114813613299475,0.5114813613299475,0.49329377980920824,0.5047056109801817,0.32392211350240985,0.4644614304980499,0.5114813613299475,0.5114813613299475,0.5114813613299475,0.5114813613299475,0.5114813613299475,0.5114813613299475,0.5114813613299475,52.0,-106.0,397.0,66.0,11.0,58.5389518737793,182.0,45.0,179.0,45.0,11.90833377838135,0.0413,960.0,2.020833253860474,17.08333396911621,-15.10000038146973,25.33687973022461,1312.740844726562,24.60000038146973,-22.39999961853027,47.0,15.13333320617676,-12.43333339691162,0.8660254037844387,-0.4999999999999998,0.0,20.0,0.34,0.38,0.28,0.82,0.059,1.0,1.0,10.392304845413264,0.7725458387317786
0.6420136000308632,0.6420136000308632,0.6420136000308632,0.6420136000308632,0.5114813613299475,0.5114813613299475,0.3915761225176743,0.5179583165955034,0.6420136000308632,0.6420136000308632,0.6420136000308632,0.6420136000308632,0.6420136000308632,0.6420136000308632,0.6420136000308632,52.0,-106.0,397.0,66.0,11.0,58.5389518737793,182.0,45.0,179.0,45.0,11.90833377838135,0.0413,960.0,2.020833253860474,17.08333396911621,-15.10000038146973,25.33687973022461,1312.740844726562,24.60000038146973,-22.39999961853027,47.0,15.13333320617676,-12.43333339691162,0.8660254037844387,-0.4999999999999998,0.0,20.0,0.34,0.39,0.27,0.81,0.052,0.0,2.0,10.392304845413264,0.69142799338481
0.6584850644821788,0.6584850644821788,0.6584850644821788,0.6584850644821788,0.5114813613299475,0.5114813613299475,0.5114813613299475,0.5114813613299475,0.5114813613299475,0.5114813613299475,0.6584850644821788,0.6584850644821788,0.6584850644821788,0.6584850644821788,0.6584850644821788,52.0,-106.0,397.0,66.0,11.0,58.5389518737793,182.0,45.0,179.0,45.0,11.90833377838135,0.0413,960.0,2.020833253860474,17.08333396911621,-15.10000038146973,25.33687973022461,1312.740844726562,24.60000038146973,-22.39999961853027,47.0,15.13333320617676,-12.43333339691162,0.8660254037844387,-0.4999999999999998,0.0,20.0,0.37,0.34,0.29,1.11,0.036,3.0,3.0,10.392304845413264,0.5965690579890621
0.5114813613299475,0.5114813613299475,0.5114813613299475,0.5114813613299475,0.5540252096595049,0.5540252096595049,0.5114813613299475,0.5114813613299475,0.6584850644821788,0.6584850644821788,0.6430060628588996,0.6430060628588996,0.5114813613299475,0.6430060628588996,0.6430060628588996,39.0,-8.5,692.0,109.0,5.0,61.84100341796875,305.0,32.0,39.0,289.0,10.00833320617676,0.0458,1508.0,16.46249961853027,22.26666641235352,11.05000019073486,43.70451354980469,455.1429748535156,29.39999961853027,6.5,22.89999961853027,11.85000038146973,21.98333358764648,0.0,1.0,0.005,20.0,0.164,0.279,0.557,1.2430724938800004,0.073256,1.0,5.0,2.846049894151541,0.9976312504506835
0.7545563058903155,0.7545563058903155,0.7545563058903155,0.7545563058903155,0.7018938899232311,0.7018938899232311,0.7545563058903155,0.5540252096595049,0.7432716109743049,0.7432716109743049,0.7139311003772563,0.7139311003772563,0.7545563058903155,0.7139311003772563,0.7139311003772563,39.0,-8.5,692.0,109.0,5.0,61.84100341796875,305.0,32.0,39.0,289.0,10.00833320617676,0.0458,1508.0,16.46249961853027,22.26666641235352,11.05000019073486,43.70451354980469,455.1429748535156,29.39999961853027,6.5,22.89999961853027,11.85000038146973,21.98333358764648,0.0,1.0,0.005,20.0,0.164,0.279,0.557,1.2227964792100001,0.073256,1.0,6.0,2.846049894151541,1.014309640528083
0.8411407507695713,0.8411407507695713,0.8411407507695713,0.8411407507695713,0.779997827574444,0.779997827574444,0.8411407507695713,0.707453353282364,0.7974792168850606,0.7974792168850606,0.7639941904023941,0.7639941904023941,0.8411407507695713,0.7639941904023941,0.7639941904023941,39.0,-8.5,692.0,109.0,5.0,61.84100341796875,305.0,32.0,39.0,289.0,10.00833320617676,0.0458,1508.0,16.46249961853027,22.26666641235352,11.05000019073486,43.70451354980469,455.1429748535156,29.39999961853027,6.5,22.89999961853027,11.85000038146973,21.98333358764648,0.8660254037844387,-0.4999999999999998,0.005,20.0,0.164,0.279,0.557,1.21942408312,0.073256,1.0,7.0,2.846049894151541,0.9536228601718924
0.8692612781201515,0.8692612781201515,0.8692612781201515,0.8692612781201515,0.8147228340939338,0.8147228340939338,0.8692612781201515,0.7689957300047462,0.8235031574328658,0.8235031574328658,0.7910840003694652,0.7910840003694652,0.8692612781201515,0.7910840003694652,0.7910840003694652,39.0,-8.5,692.0,109.0,5.0,61.84100341796875,305.0,32.0,39.0,289.0,10.00833320617676,0.0458,1508.0,16.46249961853027,22.26666641235352,11.05000019073486,43.70451354980469,455.1429748535156,29.39999961853027,6.5,22.89999961853027,11.85000038146973,21.98333358764648,0.8660254037844387,-0.4999999999999998,0.005,20.0,0.164,0.279,0.557,1.2156240831200003,0.073256,1.0,8.0,2.846049894151541,0.6081285685745138
0.8170347362110238,0.8170347362110238,0.8170347362110238,0.8170347362110238,0.7802904565073635,0.7802904565073635,0.8170347362110238,0.7368222977186998,0.7927353590245297,0.7927353590245297,0.7682145713950963,0.7682145713950963,0.8170347362110238,0.7682145713950963,0.7682145713950963,39.0,-8.5,692.0,109.0,5.0,61.84100341796875,305.0,32.0,39.0,289.0,10.00833320617676,0.0458,1508.0,16.46249961853027,22.26666641235352,11.05000019073486,43.70451354980469,455.1429748535156,29.39999961853027,6.5,22.89999961853027,11.85000038146973,21.98333358764648,0.8660254037844387,-0.4999999999999998,0.005,20.0,0.164,0.279,0.557,1.2207240831200001,0.073256,1.0,9.0,2.846049894151541,0.6674795701231637
0.7921088751963805,0.7921088751963805,0.7921088751963805,0.7921088751963805,0.7641746155953351,0.5114813613299475,0.7921088751963805,0.7545563058903155,0.777078385411859,0.777078385411859,0.7570217934759927,0.7570217934759927,0.7921088751963805,0.7570217934759927,0.7570217934759927,39.0,-8.5,692.0,109.0,5.0,61.84100341796875,305.0,32.0,39.0,289.0,10.00833320617676,0.0458,1508.0,16.46249961853027,22.26666641235352,11.05000019073486,43.70451354980469,455.1429748535156,29.39999961853027,6.5,22.89999961853027,11.85000038146973,21.98333358764648,0.0,1.0,0.005,20.0,0.164,0.279,0.557,1.2153364792099999,0.073256,1.0,10.0,2.846049894151541,0.6278289935753916
0.7686403206790964,0.7686403206790964,0.7686403206790964,0.7686403206790964,0.7471314128428421,0.5696551774526695,0.7686403206790964,0.725265176452777,0.7604951196522515,0.7604951196522515,0.7441025134859326,0.7441025134859326,0.7686403206790964,0.7441025134859326,0.7441025134859326,39.0,-8.5,692.0,109.0,5.0,61.84100341796875,305.0,32.0,39.0,289.0,10.00833320617676,0.0458,1508.0,16.46249961853027,22.26666641235352,11.05000019073486,43.70451354980469,455.1429748535156,29.39999961853027,6.5,22.89999961853027,11.85000038146973,21.98333358764648,0.0,1.0,0.005,20.0,0.164,0.279,0.557,1.2195364792099996,0.073256,1.0,11.0,2.846049894151541,0.5421525583891079
