AverageAridityIndex,UpperD_m,SoilOrganicCarbon,BulkDensity,PrecipitationofDriestQuarter,Longitude,Season_sin,SoilTypeWRB,MeanDiurnalRange,AnnualPrecipitation,SiltContent,MeanTemperatureofDriestQuarter,Isothermality
0.0413,0.0,0.059,0.82,45.0,-106.0,0.8660254037844387,1.2621258000467888,11.90833377838135,397.0,0.38,-12.43333339691162,25.33687973022461
0.0413,0.0,0.052,0.81,45.0,-106.0,0.8660254037844387,1.4811166903917603,11.90833377838135,397.0,0.39,-12.43333339691162,25.33687973022461
0.0413,0.0,0.036,1.11,45.0,-106.0,0.8660254037844387,1.542316004894806,11.90833377838135,397.0,0.34,-12.43333339691162,25.33687973022461
0.0458,0.005,0.073256,1.3362275305599993,32.0,-8.5,0.0,1.2621258000467888,10.00833320617676,692.0,0.279,21.98333358764648,43.70451354980469
0.0458,0.005,0.073256,1.3089546210399996,32.0,-8.5,0.0,1.544668483151566,10.00833320617676,692.0,0.279,21.98333358764648,43.70451354980469
0.0458,0.005,0.073256,1.2549047188300002,32.0,-8.5,0.8660254037844387,1.5638459544432528,10.00833320617676,692.0,0.279,21.98333358764648,43.70451354980469
0.0458,0.005,0.073256,1.25650471883,32.0,-8.5,0.8660254037844387,1.553363917154949,10.00833320617676,692.0,0.279,21.98333358764648,43.70451354980469
0.0458,0.005,0.073256,1.25188491443,32.0,-8.5,0.8660254037844387,1.5472163335679203,10.00833320617676,692.0,0.279,21.98333358764648,43.70451354980469
0.0458,0.005,0.073256,1.2293767481699998,32.0,-8.5,0.0,1.5824043643002728,10.00833320617676,692.0,0.279,21.98333358764648,43.70451354980469
0.0458,0.005,0.073256,1.2291867481699996,32.0,-8.5,0.0,1.5440183286747309,10.00833320617676,692.0,0.279,21.98333358764648,43.70451354980469
0.0458,0.005,0.073256,1.24707674817,32.0,-8.5,0.8660254037844387,1.5094183428268466,10.00833320617676,692.0,0.279,21.98333358764648,43.70451354980469
0.0458,0.005,0.073256,1.2533867481699998,32.0,-8.5,0.8660254037844387,1.4979292299438827,10.00833320617676,692.0,0.279,21.98333358764648,43.70451354980469
0.0458,0.005,0.073256,1.2502867481699997,32.0,-8.5,0.8660254037844387,1.4906133342662393,10.00833320617676,692.0,0.279,21.98333358764648,43.70451354980469
