BulkDensity,SoilTextureUSDA,SiltContent,MeanTemperatureofWarmestQuarter,SoilTypeWRB,AnnualMeanTemperature,Isothermality,PrecipitationofDriestQuarter,Longitude
0.82,1.4735732651134856,0.38,17.08333396911621,1.4735732651134856,2.020833253860474,25.33687973022461,45.0,-106.0
0.81,1.7443530861867957,0.39,17.08333396911621,1.7443530861867957,2.020833253860474,25.33687973022461,45.0,-106.0
1.11,1.8467601437335366,0.34,17.08333396911621,1.8467601437335366,2.020833253860474,25.33687973022461,45.0,-106.0
1.48817,1.4735732651134856,0.279,22.26666641235352,1.4735732651134856,16.46249961853027,43.70451354980469,32.0,-8.5
1.4626379706599995,1.8415462844815762,0.279,22.26666641235352,1.8415462844815762,16.46249961853027,43.70451354980469,32.0,-8.5
1.4552926894799996,1.852073563248596,0.279,22.26666641235352,1.852073563248596,16.46249961853027,43.70451354980469,32.0,-8.5
1.43809268948,1.8350086359133997,0.279,22.26666641235352,1.8350086359133997,16.46249961853027,43.70451354980469,32.0,-8.5
1.4355926894799997,1.8568205224390546,0.279,22.26666641235352,1.8568205224390546,16.46249961853027,43.70451354980469,32.0,-8.5
1.4344299999999996,1.8835222409902894,0.279,22.26666641235352,1.8835222409902894,16.46249961853027,43.70451354980469,32.0,-8.5
1.4331099999999994,1.847273861384126,0.279,22.26666641235352,1.847273861384126,16.46249961853027,43.70451354980469,32.0,-8.5
1.4436199999999997,1.8165348457384944,0.279,22.26666641235352,1.8165348457384944,16.46249961853027,43.70451354980469,32.0,-8.5
1.43759,1.806041849516613,0.279,22.26666641235352,1.806041849516613,16.46249961853027,43.70451354980469,32.0,-8.5
1.4370926894799998,1.8058444689649646,0.279,22.26666641235352,1.8058444689649646,16.46249961853027,43.70451354980469,32.0,-8.5
1.42,1.7441457620109524,0.4292,25.45000076293945,1.4735732651134856,17.8791675567627,41.60561370849609,31.0,-1.0
1.36,1.779530029483962,0.4292,25.45000076293945,1.6973201822447437,17.8791675567627,41.60561370849609,31.0,-1.0
1.3265540097899993,1.4735732651134856,0.783,17.68333435058594,1.4735732651134856,10.57499980926514,35.87105560302734,140.0,1.8
1.3239777261699996,1.5603472518662902,0.746,17.68333435058594,1.5603472518662902,10.57499980926514,35.87105560302734,140.0,1.8
1.3176640097899994,1.4735732651134856,0.663,17.68333435058594,1.541582484708132,10.57499980926514,35.87105560302734,140.0,1.8
1.3357540097899994,1.5415824847081323,0.783,17.68333435058594,1.4191187951102093,10.57499980926514,35.87105560302734,140.0,1.8
1.3450192909599992,1.5689530122850162,0.783,17.68333435058594,1.4655079550913008,10.57499980926514,35.87105560302734,140.0,1.8
1.3397444987899996,1.7999772673688943,0.468,17.68333435058594,1.423973691474936,10.57499980926514,35.87105560302734,140.0,1.8
1.3417210269099993,1.7771763025640257,0.468,17.68333435058594,1.454887523226347,10.57499980926514,35.87105560302734,140.0,1.8
1.18,1.2626504957149627,0.29913832488999986,24.39999961853027,1.4735732651134856,13.72500038146973,41.58163452148438,36.0,-102.0
1.25,1.480596034339844,0.2979458592199999,24.39999961853027,1.6950301883515464,13.72500038146973,41.58163452148438,36.0,-102.0
1.17,1.5550895613738174,0.30838348561999995,24.39999961853027,1.7228768397262766,13.72500038146973,41.58163452148438,36.0,-102.0
1.18,1.6517119609914537,0.33044280057999986,24.39999961853027,1.8017080196602075,13.72500038146973,41.58163452148438,36.0,-102.0
1.25,1.6679515324541878,0.33192880057999985,24.39999961853027,1.7911962936817374,13.72500038146973,41.58163452148438,36.0,-102.0
1.17,1.6341548883178183,0.34258642697999986,24.39999961853027,1.7312260819847147,13.72500038146973,41.58163452148438,36.0,-102.0
1.18,1.618735646534553,0.3320698555799998,24.39999961853027,1.6997367779942836,13.72500038146973,41.58163452148438,36.0,-102.0
1.25,1.659382365290581,0.33187880057999986,24.39999961853027,1.7353391951623487,13.72500038146973,41.58163452148438,36.0,-102.0
1.17,1.6474266086936336,0.3411464269799998,24.39999961853027,1.7136153734022108,13.72500038146973,41.58163452148438,36.0,-102.0
1.361080635699999,1.7419446361599442,0.52,19.29999923706055,1.4735732651134856,6.3125,25.12165451049805,197.0,-75.0
1.3559806356999988,1.711614116976525,0.52,19.29999923706055,1.4712716143113305,6.3125,25.12165451049805,197.0,-75.0
1.37,1.4735732651134856,0.3610208913599999,20.16666603088379,1.459941954239475,6.945833206176758,27.77131843566895,81.0,-89.5
1.57,1.9943356532927217,0.3741390208099999,20.16666603088379,1.577181519487529,6.945833206176758,27.77131843566895,81.0,-89.5
1.13,1.4984228845066352,0.534,22.04999923706055,1.4735732651134856,11.02499961853027,30.32473754882812,247.0,-76.0
1.5,1.4283775886342482,0.535,22.04999923706055,1.2758621871929,11.02499961853027,30.32473754882812,247.0,-76.0
1.58,1.4735732651134856,0.359,22.04999923706055,1.2786556369283903,11.02499961853027,30.32473754882812,247.0,-76.0
1.69,1.4077868668864084,0.584,22.04999923706055,1.277477582993327,11.02499961853027,30.32473754882812,247.0,-76.0
1.13,1.341093822641188,0.534,22.04999923706055,1.1968305689795904,11.02499961853027,30.32473754882812,247.0,-76.0
1.5,1.3270942862177968,0.535,22.04999923706055,1.1998751399547698,11.02499961853027,30.32473754882812,247.0,-76.0
1.58,1.3737583431508114,0.359,22.04999923706055,1.185048888328572,11.02499961853027,30.32473754882812,247.0,-76.0
1.69,1.3039939954531556,0.584,22.04999923706055,1.1854366670533594,11.02499961853027,30.32473754882812,247.0,-76.0
0.88,1.264633634057204,0.635,19.26666641235352,1.1505025951693957,8.408333778381348,31.63841819763184,208.0,-78.0
