study1_num_leaves,study1_min_child_samples,study1_min_split_gain,study1_val,study2_num_leaves,study2_min_child_samples,study2_min_split_gain,study2_val,rmse_train,rmse_test,r2_train,r2_test,glob_r2_test
36.0,30.0,0.023555150795147875,0.4341802651235485,21.0,30.0,0.011865003569006716,0.4565079685272301,0.05085576077449531,0.08860626069459261,0.8731989203677951,0.7576529723171681,0.7790738090013669
24.0,35.0,0.013768420807693155,0.4189222629426263,12.0,35.0,0.01188598790144427,0.39470913497521426,0.05766951736410461,0.06175458977931239,0.8583649963461562,0.810195025708507,0.848332152776456
9.0,65.0,0.15165110343227525,0.3901825246476177,6.0,30.0,0.012636665985161258,0.3759339146483587,0.06230524211940628,0.10513446949723086,0.8437710207650289,0.7350205162878081,0.7363777060606804
27.0,40.0,0.024852610085837668,0.41163013707292134,39.0,40.0,0.029110165815548317,0.43168672038178085,0.06849612412351452,0.13849687950726655,0.8283174485050367,0.6483972196433111,0.6528636042964764
12.0,30.0,0.010034952863780621,0.34893850871595194,48.0,35.0,0.016406440767638277,0.39138763790838643,0.05367083288043492,0.2565600129330143,0.8628018993739528,0.43539956021899495,0.34415874355034914
6.0,35.0,0.01427029661932751,0.39225867866945785,24.0,30.0,0.010272050885823837,0.3774155857146819,0.04522456916731944,0.07726693091531169,0.8887606351942292,0.7624957822442083,0.8099456893948318
12.0,35.0,0.011093358907009403,0.3688957576733302,24.0,35.0,0.010061242546788769,0.36549891381330796,0.05202413078869885,0.08511208274078318,0.8703495833270801,0.7738615440729101,0.7878904111620515
51.0,30.0,0.020145191477144452,0.38831022654798675,33.0,35.0,0.01818622393329643,0.3700701738767431,0.05268040161264895,0.06827659441147468,0.86766103861656,0.8317025247505445,0.828481687409091
51.0,30.0,0.03189489649062943,0.34874904799469697,42.0,30.0,0.014378012467482486,0.34565803043402854,0.05221843909180934,0.09954006896326928,0.8688132939715347,0.7525173509410567,0.7499286843450323
42.0,35.0,0.03608235916999579,0.39158723927948225,48.0,35.0,0.017433964110026207,0.3898292206508655,0.06275457262390413,0.08524226526365612,0.8380554177891553,0.8297021546521708,0.7800236308266971
