study1_num_leaves,study1_min_child_samples,study1_min_split_gain,study1_val,study2_num_leaves,study2_min_child_samples,study2_min_split_gain,study2_val,rmse_train,rmse_test,r2_train,r2_test,glob_r2_test
30.0,65.0,0.046473957805784234,0.4980467715306804,45.0,35.0,0.026270575654574437,0.48013621612032803,0.060243796000213505,0.0825071814968514,0.8415264729644356,0.7936957076091264,0.7829618163914644
30.0,30.0,0.0263563619098289,0.38370612415397026,51.0,40.0,0.18624120429054905,0.44863528299110417,0.08866559899113131,0.2639532803520918,0.7570788105038504,0.5231990037431599,0.2768351472936609
36.0,70.0,0.03444911447249155,0.48984213768721346,12.0,50.0,0.14875759153057683,0.4914446940081685,0.09014413935127208,0.11930796009013195,0.774256882938669,0.5500454592677662,0.7012234961163317
6.0,35.0,0.036777786137571766,0.38863850385464876,12.0,35.0,0.02420847036239813,0.39759994494208967,0.05775907463288598,0.061971943681491795,0.8558713404851789,0.7399354682938721,0.8453587903353308
27.0,30.0,0.010608311936981363,0.42431598715529334,6.0,35.0,0.012594631900261387,0.42370910918757465,0.06026100407236088,0.09344930618801295,0.8418656036684952,0.7298560020969782,0.7547742549411451
42.0,30.0,0.01365973777211643,0.3930965924319494,21.0,50.0,0.018899625749142158,0.4428170120798416,0.0857962298501382,0.06939955954374166,0.7842835201704983,0.7497436967245374,0.8255094808636309
27.0,30.0,0.014302327720747092,0.3725096528552843,24.0,50.0,0.04198035079997376,0.45489081364834894,0.07026373018027823,0.13865759843418016,0.8103722241731897,0.7282216895055866,0.6257908322672477
18.0,30.0,0.011930434134017655,0.3713874505804891,24.0,40.0,0.016187945040320815,0.41585933123576857,0.07380362610758777,0.0735666344305971,0.8098648837543685,0.7724350984209261,0.8104754288241754
48.0,35.0,0.011345494399075137,0.39858320433498967,21.0,30.0,0.010447116468066559,0.3804779662488185,0.05050216727815526,0.11640239333106552,0.8668359056692138,0.724976960058499,0.6930702161653151
45.0,35.0,0.013747979024850608,0.38268440743822696,39.0,30.0,0.010350949242271505,0.3857806439302629,0.05225880386014803,0.10892075905403203,0.8672999319024173,0.6441595736813581,0.7234190016596852
