universal R2,median global R2,median local R2
0.7321376071500496,0.7155493806304846,0.7139506629614938
0.7335152328818575,0.7701907827003491,0.7532812887016116
0.7370003085722726,0.762112138838485,0.7517139602937721
0.7328260145520842,0.7198700016390923,0.721065492924339
0.7459527585486605,0.7331564716521096,0.7314029081415188
0.7446073787651438,0.7996941804664786,0.7228372777040353
0.7562891160228099,0.7847627929053304,0.7602349464609368
0.7271409283244152,0.7416500227625251,0.7416588767154004
0.7417974142671269,0.748222414939509,0.7521518086736017
0.7289622291162123,0.7254833820192257,0.7247571660982574
