study1_num_leaves,study1_min_child_samples,study1_min_split_gain,study1_val,study2_num_leaves,study2_min_child_samples,study2_min_split_gain,study2_val,rmse_train,rmse_test,r2_train,r2_test,glob_r2_test
27.0,35.0,0.020985966196166453,0.47516506324850083,6.0,30.0,0.022701641584784823,0.43629681866968356,0.06212339711713143,0.10244617083550316,0.8434005823408542,0.7549904094451759,0.7417557403694355
6.0,35.0,0.010132486975821026,0.3873758529150653,18.0,30.0,0.02121717505047996,0.3794620623067777,0.04247679242577098,0.17293554608295988,0.8894316525037157,0.6659477379277353,0.5498436566938267
45.0,30.0,0.06629638323591841,0.4705779937303011,24.0,30.0,0.20372400541671185,0.47382544304606594,0.07082731814630115,0.0747067767984348,0.8274021021055401,0.7458732869129377,0.8179483146990533
30.0,30.0,0.014260762442049504,0.4084219820969121,15.0,40.0,0.03162511939296937,0.42193702671717226,0.06369933421675016,0.06210211953006211,0.8454846122088655,0.7781464671919337,0.8493589736874255
51.0,50.0,0.039122996433094505,0.37773828338457455,42.0,30.0,0.01415041597528702,0.3743536478835055,0.05212110535404835,0.0835318909949494,0.8701025965940632,0.7226659536581794,0.7918199226949262
48.0,30.0,0.012462600930629621,0.3790431631109691,15.0,35.0,0.01011075291326593,0.3963367229695747,0.06736058866343271,0.08097709506330554,0.8365913767167894,0.7082574525323406,0.8035593826549836
24.0,30.0,0.02917073103997737,0.36918040857300866,6.0,30.0,0.011355121800633259,0.3830175714558496,0.05083378768185864,0.11905680801553957,0.8730021195712431,0.6917163456438119,0.7025607778193771
51.0,35.0,0.014029801748591027,0.37444152676618864,48.0,30.0,0.012841065527830233,0.422960702195717,0.0500992017359778,0.11959047039083676,0.872542725306171,0.7315941447866785,0.6957501335909937
27.0,30.0,0.017636832077272697,0.389007419844373,33.0,30.0,0.02189908685217633,0.36109366748047766,0.051723938167955556,0.11418928549824667,0.862441353154001,0.8002034221079464,0.6963161709295047
36.0,55.0,0.026888947221395867,0.4157322092416727,27.0,30.0,0.016433026198473165,0.41072019455200703,0.055181286649647436,0.08528479358987463,0.8624616706212809,0.7628850701138901,0.7874292401655119
