SoilTextureUSDA,AnnualMeanTemperature,Longitude,ClayContent,SoilOrganicCarbon,BulkDensity,PrecipitationofDriestQuarter,SoilTypeWRB,SiltContent,SamplingTimeClass,Isothermality
1.4735732651134856,2.020833253860474,-106.0,0.34,0.059,0.82,45.0,1.4735732651134856,0.38,1.4163102681718323,25.33687973022461
1.7443530861867957,2.020833253860474,-106.0,0.34,0.052,0.81,45.0,1.7443530861867957,0.39,1.6033804410696948,25.33687973022461
1.8467601437335366,2.020833253860474,-106.0,0.37,0.036,1.11,45.0,1.8467601437335366,0.34,1.4735732651134856,25.33687973022461
1.4735732651134856,16.46249961853027,-8.5,0.164,0.073256,1.48817,32.0,1.4735732651134856,0.279,1.4735732651134856,43.70451354980469
1.8415462844815762,16.46249961853027,-8.5,0.164,0.073256,1.4626379706599995,32.0,1.8415462844815762,0.279,1.4549379409783423,43.70451354980469
1.852073563248596,16.46249961853027,-8.5,0.164,0.073256,1.4552926894799996,32.0,1.852073563248596,0.279,1.5943346675797734,43.70451354980469
1.8350086359133997,16.46249961853027,-8.5,0.164,0.073256,1.43809268948,32.0,1.8350086359133997,0.279,1.6417044641617828,43.70451354980469
1.8568205224390546,16.46249961853027,-8.5,0.164,0.073256,1.4355926894799997,32.0,1.8568205224390546,0.279,1.7021771850377612,43.70451354980469
1.8835222409902894,16.46249961853027,-8.5,0.164,0.073256,1.4344299999999996,32.0,1.8835222409902894,0.279,1.8415462844815758,43.70451354980469
1.847273861384126,16.46249961853027,-8.5,0.164,0.073256,1.4331099999999994,32.0,1.847273861384126,0.279,1.7546527931558782,43.70451354980469
1.8165348457384944,16.46249961853027,-8.5,0.164,0.073256,1.4436199999999997,32.0,1.8165348457384944,0.279,1.7327540707363347,43.70451354980469
1.806041849516613,16.46249961853027,-8.5,0.164,0.073256,1.43759,32.0,1.806041849516613,0.279,1.731422046861988,43.70451354980469
1.8058444689649646,16.46249961853027,-8.5,0.164,0.073256,1.4370926894799998,32.0,1.8058444689649646,0.279,1.7394938243217812,43.70451354980469
1.7441457620109524,17.8791675567627,-1.0,0.2721,0.0062209,1.42,31.0,1.4735732651134856,0.4292,1.682776627155525,41.60561370849609
1.779530029483962,17.8791675567627,-1.0,0.2721,0.0062209,1.36,31.0,1.6973201822447437,0.4292,1.7138337558500771,41.60561370849609
1.4735732651134856,10.57499980926514,1.8,0.181,0.010291,1.3265540097899993,140.0,1.4735732651134856,0.783,1.7683403242603188,35.87105560302734
1.5603472518662902,10.57499980926514,1.8,0.21,0.010872,1.3239777261699996,140.0,1.5603472518662902,0.746,1.757320407383844,35.87105560302734
1.4735732651134856,10.57499980926514,1.8,0.279,0.010814,1.3176640097899994,140.0,1.541582484708132,0.663,1.7362147859678416,35.87105560302734
1.5415824847081323,10.57499980926514,1.8,0.181,0.010291,1.3357540097899994,140.0,1.4191187951102093,0.783,1.6835619352254259,35.87105560302734
1.5689530122850162,10.57499980926514,1.8,0.181,0.010291,1.3450192909599992,140.0,1.4655079550913008,0.783,1.6812406966390145,35.87105560302734
1.7999772673688943,10.57499980926514,1.8,0.313,0.0057,1.3397444987899996,140.0,1.423973691474936,0.468,1.6502448084226211,35.87105560302734
1.7771763025640257,10.57499980926514,1.8,0.313,0.0057,1.3417210269099993,140.0,1.454887523226347,0.468,1.6496276650046333,35.87105560302734
1.2626504957149627,13.72500038146973,-102.0,0.171040701,0.01,1.18,36.0,1.4735732651134856,0.29913832488999986,1.770958717570099,41.58163452148438
1.480596034339844,13.72500038146973,-102.0,0.25644548199999995,0.013,1.25,36.0,1.6950301883515464,0.2979458592199999,1.7588622338393478,41.58163452148438
1.5550895613738174,13.72500038146973,-102.0,0.2567094849999999,0.0225,1.17,36.0,1.7228768397262766,0.30838348561999995,1.7713188911424909,41.58163452148438
1.6517119609914537,13.72500038146973,-102.0,0.3022811699999998,0.01,1.18,36.0,1.8017080196602075,0.33044280057999986,1.807340816074976,41.58163452148438
1.6679515324541878,13.72500038146973,-102.0,0.29969856199999984,0.013,1.25,36.0,1.7911962936817374,0.33192880057999985,1.778764667667134,41.58163452148438
1.6341548883178183,13.72500038146973,-102.0,0.2949619799999999,0.0225,1.17,36.0,1.7312260819847147,0.34258642697999986,1.7717791271504197,41.58163452148438
1.618735646534553,13.72500038146973,-102.0,0.2968167939999999,0.01,1.18,36.0,1.6997367779942836,0.3320698555799998,1.7957025308135521,41.58163452148438
1.659382365290581,13.72500038146973,-102.0,0.2995395489999998,0.013,1.25,36.0,1.7353391951623487,0.33187880057999986,1.7768375803071146,41.58163452148438
1.6474266086936336,13.72500038146973,-102.0,0.29806435599999986,0.0225,1.17,36.0,1.7136153734022108,0.3411464269799998,1.7725640079524745,41.58163452148438
1.7419446361599442,6.3125,-75.0,0.278,0.0216,1.361080635699999,197.0,1.4735732651134856,0.52,1.640550918317971,25.12165451049805
1.711614116976525,6.3125,-75.0,0.278,0.0216,1.3559806356999988,197.0,1.4712716143113305,0.52,1.6310186430508156,25.12165451049805
1.4735732651134856,6.945833206176758,-89.5,0.215016903,0.0052326,1.37,81.0,1.459941954239475,0.3610208913599999,1.5868087147401504,27.77131843566895
1.9943356532927217,6.945833206176758,-89.5,0.30611598199999973,0.0046512,1.57,81.0,1.577181519487529,0.3741390208099999,1.6332231810767408,27.77131843566895
1.4984228845066352,11.02499961853027,-76.0,0.221,0.11,1.13,247.0,1.4735732651134856,0.534,1.6366066436366402,30.32473754882812
1.4283775886342482,11.02499961853027,-76.0,0.197,0.015,1.5,247.0,1.2758621871929,0.535,1.6112223011655347,30.32473754882812
1.4735732651134856,11.02499961853027,-76.0,0.176,0.03,1.58,247.0,1.2786556369283903,0.359,1.5970057896539622,30.32473754882812
1.4077868668864084,11.02499961853027,-76.0,0.188,0.014,1.69,247.0,1.277477582993327,0.584,1.5835448576345528,30.32473754882812
1.341093822641188,11.02499961853027,-76.0,0.221,0.11,1.13,247.0,1.1968305689795904,0.534,1.5551727638461565,30.32473754882812
1.3270942862177968,11.02499961853027,-76.0,0.197,0.015,1.5,247.0,1.1998751399547698,0.535,1.5420929650378683,30.32473754882812
1.3737583431508114,11.02499961853027,-76.0,0.176,0.03,1.58,247.0,1.185048888328572,0.359,1.5255743877613321,30.32473754882812
1.3039939954531556,11.02499961853027,-76.0,0.188,0.014,1.69,247.0,1.1854366670533594,0.584,1.5135235567029586,30.32473754882812
1.264633634057204,8.408333778381348,-78.0,0.194,0.071,0.88,208.0,1.1505025951693957,0.635,1.4913686071648455,31.63841819763184
1.278414167188896,8.408333778381348,-78.0,0.209,0.014,1.56,208.0,1.178452338816207,0.671,1.489322987980601,31.63841819763184
1.2836201036226842,8.408333778381348,-78.0,0.237,0.02,1.47,208.0,1.1936922480900192,0.639,1.4847026122660054,31.63841819763184
1.3118892681428311,8.408333778381348,-78.0,0.171,0.012,1.59,208.0,1.2296572706435824,0.466,1.489095421843092,31.63841819763184
1.3080238475591195,8.408333778381348,-78.0,0.194,0.071,0.88,208.0,1.2669100447541395,0.635,1.4959089949412052,31.63841819763184
1.2973656684611952,8.408333778381348,-78.0,0.209,0.014,1.56,208.0,1.2584272673495762,0.671,1.485680823357354,31.63841819763184
1.2736647686828402,8.408333778381348,-78.0,0.237,0.02,1.47,208.0,1.235742200993439,0.639,1.469465693318787,31.63841819763184
1.4124027846273288,8.408333778381348,-78.0,0.171,0.012,1.59,208.0,1.2142620615006343,0.466,1.4534266454240585,31.63841819763184
1.311346474216251,11.02499961853027,-76.0,0.143,0.11,1.64,247.0,1.1961949539165935,0.423,1.4386616342658933,30.32473754882812
1.3726522688147902,11.02499961853027,-76.0,0.16,0.013,1.6,247.0,1.2230275254660876,0.421,1.4449910976222509,30.32473754882812
1.2512174275314123,11.02499961853027,-76.0,0.173,0.021,1.55,247.0,1.2209255561391494,0.57,1.4382756876384566,30.32473754882812
1.8260366830324366,11.02499961853027,-76.0,0.092,0.005,1.78,247.0,1.2320852749190339,0.23,1.438421793740916,30.32473754882812
1.3455719601632867,11.02499961853027,-76.0,0.143,0.11,1.64,247.0,1.2470379395188897,0.423,1.441047877589089,30.32473754882812
1.3466183823219406,11.02499961853027,-76.0,0.16,0.013,1.6,247.0,1.2518972757876912,0.421,1.4389739599663134,30.32473754882812
1.2619342333206025,11.02499961853027,-76.0,0.173,0.021,1.55,247.0,1.2545130502997413,0.57,1.4360224746081398,30.32473754882812
1.8027078954060676,11.02499961853027,-76.0,0.092,0.005,1.78,247.0,1.2310345903114706,0.23,1.4190908276984375,30.32473754882812
1.342778572015597,15.23333358764648,-0.06667,0.245,0.011,1.22,78.0,1.4735732651134856,0.473,1.4209197589184965,37.62541961669922
1.3857792539389302,15.23333358764648,-0.06667,0.245,0.011,1.14,78.0,1.623179328181208,0.473,1.4285690117952452,37.62541961669922
1.4165486415609978,15.23333358764648,-0.06667,0.245,0.011,1.3,78.0,1.6568670580480296,0.473,1.4348599374545308,37.62541961669922
1.2318866426501096,8.458333015441895,-117.0,0.123,0.0371,0.75,80.0,1.72005810238091,0.715,1.4327601084171364,37.69607925415039
1.2618108389471634,8.458333015441895,-117.0,0.137,0.0147,1.1,80.0,1.7300865084000259,0.704,1.4408746076043617,37.69607925415039
1.2278270494128218,8.458333015441895,-117.0,0.131,0.0182,1.1,80.0,1.631591904260523,0.736,1.4230201406267944,37.69607925415039
1.2198059851102336,8.458333015441895,-117.0,0.123,0.0319,0.9,80.0,1.5869589604524732,0.714,1.4157327581587373,37.69607925415039
1.246679060708063,8.458333015441895,-117.0,0.135,0.0143,1.25,80.0,1.6048823721244616,0.705,1.4238511036529984,37.69607925415039
1.2114865967742376,8.458333015441895,-117.0,0.132,0.0134,1.25,80.0,1.5246942090692481,0.74,1.4045720248349467,37.69607925415039
1.1991159039904153,8.458333015441895,-117.0,0.123,0.0371,0.75,80.0,1.4857895258260876,0.715,1.3952691961746453,37.69607925415039
1.2303093845911919,8.458333015441895,-117.0,0.137,0.0147,1.1,80.0,1.5166340478134122,0.704,1.4064487816916627,37.69607925415039
1.2166447320476592,8.458333015441895,-117.0,0.131,0.0182,1.1,80.0,1.4802301432635454,0.736,1.3967151206956654,37.69607925415039
1.2082299202827496,8.458333015441895,-117.0,0.123,0.0319,0.9,80.0,1.4539564516512635,0.714,1.3894223993260955,37.69607925415039
1.2252346807417742,8.458333015441895,-117.0,0.135,0.0143,1.25,80.0,1.4663270277484235,0.705,1.3948007712962398,37.69607925415039
1.2258066521369944,8.458333015441895,-117.0,0.123,0.0371,0.75,80.0,1.4556635417888972,0.715,1.392217602674242,37.69607925415039
1.2575881620666653,8.458333015441895,-117.0,0.137,0.0147,1.1,80.0,1.4899985380692564,0.704,1.4058645336289513,37.69607925415039
1.2577972614335253,8.458333015441895,-117.0,0.123,0.0319,0.9,80.0,1.4801846599708621,0.714,1.4035434649105454,37.69607925415039
1.2816352704769869,8.458333015441895,-117.0,0.137,0.0147,1.1,80.0,1.5036957807998992,0.704,1.4138806922485652,37.69607925415039
1.2842712435700576,8.458333015441895,-117.0,0.131,0.0182,1.1,80.0,1.498398283793559,0.736,1.413204147223054,37.69607925415039
1.2847890282821537,8.458333015441895,-117.0,0.131,0.0182,1.1,80.0,1.4908596462820152,0.736,1.4114727341179039,37.69607925415039
1.291719312044582,8.458333015441895,-117.0,0.123,0.0319,0.9,80.0,1.4924677795208137,0.714,1.4133620650350065,37.69607925415039
1.3170839596039134,8.458333015441895,-117.0,0.132,0.0134,1.25,80.0,1.5188157613857791,0.74,1.4257385681668977,37.69607925415039
1.3132413477936953,14.05000019073486,1.0,0.229,0.013954,1.3934383129599999,92.0,1.2445244112569467,0.52,1.4219374658183714,38.66442108154297
1.3087728489639001,14.05000019073486,1.0,0.229,0.013954,1.3747255990200002,92.0,1.218135781800629,0.52,1.4177761779891553,38.66442108154297
1.3027315550613339,14.05000019073486,1.0,0.229,0.013954,1.38110831296,92.0,1.1879328440127543,0.52,1.4126942202336787,38.66442108154297
1.8976490671400243,16.54583358764648,-8.0,0.057,0.0085,1.66,25.0,1.5898909570222388,0.074,1.4260348917201355,44.75190734863281
1.7795298059595313,16.54583358764648,-8.0,0.115,0.0083,1.83,25.0,1.5043526913368175,0.138,1.4233420352175354,44.75190734863281
1.4735732651134856,16.54583358764648,-8.0,0.245,0.0114,1.62,25.0,1.4187500716187211,0.129,1.422390461831923,44.75190734863281
1.686500623728112,16.54583358764648,-8.0,0.157,0.0074,1.7,25.0,1.8260366830324364,0.251,1.420174432997415,44.75190734863281
1.4735732651134856,5.679166793823242,17.6,0.44,0.017,1.28,93.0,1.0532773724541353,0.41,1.3979414458683552,27.90359878540039
1.6217404532151511,12.37083339691162,175.3,0.16,0.04,1.44,216.0,1.4735732651134856,0.21,1.4077698648899457,47.01426315307617
1.6004896692723358,8.012499809265137,110.3,0.05,0.0034,1.4536083129600008,9.0,1.1430204547516782,0.333,1.4019349318214336,29.98168563842773
1.5978772215091837,8.012499809265137,110.3,0.05,0.0034,1.4745283129600009,9.0,1.1946526550700618,0.333,1.4040758085641742,29.98168563842773
1.5920586451242316,8.012499809265137,110.3,0.05,0.0034,1.471628312960001,9.0,1.2278182319045041,0.333,1.4052959049753506,29.98168563842773
1.56929007951413,8.012499809265137,110.3,0.06,0.003,1.4426183129600003,9.0,1.220981998567284,0.355,1.4019737427261199,29.98168563842773
1.5709529904383772,8.012499809265137,110.3,0.06,0.003,1.4420183129600002,9.0,1.255669843970174,0.355,1.4046480701297597,29.98168563842773
1.574602013036365,8.012499809265137,110.3,0.06,0.003,1.3879730806900006,9.0,1.2883292290556698,0.355,1.4078445753253694,29.98168563842773
1.5711613363725159,8.012499809265137,110.3,0.06,0.003,1.3355361613800005,9.0,1.3045275288538252,0.355,1.409027205859218,29.98168563842773
1.5603113155064505,8.012499809265137,110.3,0.04,0.0024,1.3130461613800002,9.0,1.3057477665394812,0.335,1.407906483430933,29.98168563842773
1.563047846781597,8.012499809265137,110.3,0.04,0.0024,1.3207461613800004,9.0,1.3270971198441799,0.335,1.4106670097939586,29.98168563842773
1.5645221287250803,8.012499809265137,110.3,0.04,0.0024,1.2997676772700004,9.0,1.344147605814461,0.335,1.4130324833636427,29.98168563842773
1.5554482695889909,8.012499809265137,110.3,0.04,0.0024,1.2989676772700003,9.0,1.3432331461304785,0.335,1.4119901291392367,29.98168563842773
1.5450599380763919,8.012499809265137,110.3,0.03,0.0027,1.28874616138,9.0,1.3394403779426085,0.321,1.410319070475939,29.98168563842773
