SoilTypeWRB,AverageAridityIndex,MeanTemperatureofDriestQuarter,BulkDensity,Longitude,Season_sin,Method,MeanDiurnalRange,UpperD_m,SiltContent,PrecipitationofDriestQuarter,SoilOrganicCarbon,AnnualPrecipitation
1.2621258000467888,0.0413,-12.43333339691162,0.82,-106.0,0.8660254037844387,1.2621258000467888,11.90833377838135,0.0,0.38,45.0,0.059,397.0
1.4811166903917603,0.0413,-12.43333339691162,0.81,-106.0,0.8660254037844387,1.4811166903917603,11.90833377838135,0.0,0.39,45.0,0.052,397.0
1.542316004894806,0.0413,-12.43333339691162,1.11,-106.0,0.8660254037844387,1.542316004894806,11.90833377838135,0.0,0.34,45.0,0.036,397.0
1.2621258000467888,0.0458,21.98333358764648,1.3362275305599993,-8.5,0.0,1.2621258000467888,10.00833320617676,0.005,0.279,32.0,0.073256,692.0
1.544668483151566,0.0458,21.98333358764648,1.3089546210399996,-8.5,0.0,1.544668483151566,10.00833320617676,0.005,0.279,32.0,0.073256,692.0
1.5638459544432528,0.0458,21.98333358764648,1.2549047188300002,-8.5,0.8660254037844387,1.5638459544432528,10.00833320617676,0.005,0.279,32.0,0.073256,692.0
1.553363917154949,0.0458,21.98333358764648,1.25650471883,-8.5,0.8660254037844387,1.553363917154949,10.00833320617676,0.005,0.279,32.0,0.073256,692.0
1.5472163335679203,0.0458,21.98333358764648,1.25188491443,-8.5,0.8660254037844387,1.5472163335679203,10.00833320617676,0.005,0.279,32.0,0.073256,692.0
1.5824043643002728,0.0458,21.98333358764648,1.2293767481699998,-8.5,0.0,1.5824043643002728,10.00833320617676,0.005,0.279,32.0,0.073256,692.0
1.5440183286747309,0.0458,21.98333358764648,1.2291867481699996,-8.5,0.0,1.5440183286747309,10.00833320617676,0.005,0.279,32.0,0.073256,692.0
1.5094183428268466,0.0458,21.98333358764648,1.24707674817,-8.5,0.8660254037844387,1.5094183428268466,10.00833320617676,0.005,0.279,32.0,0.073256,692.0
1.4979292299438827,0.0458,21.98333358764648,1.2533867481699998,-8.5,0.8660254037844387,1.4979292299438827,10.00833320617676,0.005,0.279,32.0,0.073256,692.0
1.4906133342662393,0.0458,21.98333358764648,1.2502867481699997,-8.5,0.8660254037844387,1.4906133342662393,10.00833320617676,0.005,0.279,32.0,0.073256,692.0
1.2621258000467888,0.0177,25.26666641235352,1.42,-1.0,-0.01732050807568883,1.2621258000467888,11.35833358764648,0.0,0.4292,31.0,0.0062209,303.0
1.5407779743449135,0.0177,25.26666641235352,1.36,-1.0,-0.008660254037844452,1.5407779743449135,11.35833358764648,0.0,0.4292,31.0,0.0062209,303.0
1.2621258000467888,0.0648,6.666666507720947,1.2393033985299995,1.8,-2.449293598294706e-16,1.5394629242154132,8.716666221618652,0.12,0.783,140.0,0.010291,621.0
1.1280059822845678,0.0648,6.666666507720947,1.2596636185799996,1.8,-2.449293598294706e-16,1.493998194240991,8.716666221618652,0.12,0.746,140.0,0.010872,621.0
1.0737404293438404,0.0648,6.666666507720947,1.284245158919999,1.8,-2.449293598294706e-16,1.4533221272580217,8.716666221618652,0.1,0.663,140.0,0.010814,621.0
0.9410521141130801,0.0648,6.666666507720947,1.3339213447399991,1.8,0.0,1.3882982016267913,8.716666221618652,0.12,0.783,140.0,0.010291,621.0
0.9590302538140122,0.0648,6.666666507720947,1.3614413447399993,1.8,-0.8660254037844385,1.364474509026188,8.716666221618652,0.12,0.783,140.0,0.010291,621.0
0.9186240029800495,0.0648,6.666666507720947,1.3625513447399995,1.8,0.0,1.323981899012691,8.716666221618652,0.3,0.468,140.0,0.0057,621.0
0.9555040623617438,0.0648,6.666666507720947,1.3889613447400004,1.8,-0.8660254037844385,1.3153232236973507,8.716666221618652,0.3,0.468,140.0,0.0057,621.0
1.2621258000467888,0.0216,3.116666555404663,1.18,-102.0,0.8660254037844387,1.2621258000467888,16.29999923706055,0.0,0.30260401996999975,36.0,0.01,470.0
1.589306455818198,0.0216,3.116666555404663,1.25,-102.0,0.8660254037844387,1.589306455818198,16.29999923706055,0.0,0.2885040199699998,36.0,0.013,470.0
1.5865792208045584,0.0216,3.116666555404663,1.17,-102.0,0.8660254037844387,1.5865792208045584,16.29999923706055,0.0,0.33513061943999994,36.0,0.0225,470.0
1.588856326597702,0.0216,3.116666555404663,1.18,-102.0,0.8660254037844387,1.588856326597702,16.29999923706055,0.0,0.29230102082999976,36.0,0.01,470.0
1.5842458914782476,0.0216,3.116666555404663,1.25,-102.0,0.8660254037844387,1.5842458914782476,16.29999923706055,0.0,0.29173313637999987,36.0,0.013,470.0
1.5414851630481363,0.0216,3.116666555404663,1.17,-102.0,0.8660254037844387,1.5414851630481363,16.29999923706055,0.0,0.3069714986699999,36.0,0.0225,470.0
1.5169329557445155,0.0216,3.116666555404663,1.18,-102.0,0.8660254037844387,1.5169329557445155,16.29999923706055,0.0,0.29206102082999974,36.0,0.01,470.0
1.561330215503025,0.0216,3.116666555404663,1.25,-102.0,0.8660254037844387,1.561330215503025,16.29999923706055,0.0,0.2918722536599998,36.0,0.013,470.0
1.535866770414161,0.0216,3.116666555404663,1.17,-102.0,0.8660254037844387,1.535866770414161,16.29999923706055,0.0,0.3069714986699999,36.0,0.0225,470.0
1.2621258000467888,0.104,-6.849999904632568,1.3705138141799993,-75.0,0.8660254037844387,1.3010735658084678,10.32499980926514,0.05,0.52,197.0,0.0216,990.0
1.0991363501696274,0.104,-6.849999904632568,1.3882404645499997,-75.0,0.8660254037844387,1.2818668992023625,10.32499980926514,0.05,0.52,197.0,0.0216,990.0
