study1_num_leaves,study1_min_child_samples,study1_min_split_gain,study1_val,study2_num_leaves,study2_min_child_samples,study2_min_split_gain,study2_val,rmse_train,rmse_test,r2_train,r2_test,glob_r2_test
18.0,30.0,0.013826991933555148,0.4091423033015773,18.0,30.0,0.01263966677390171,0.41215579114382495,0.04452381737979119,0.10758682492075862,0.8870286570401463,0.6544477184603146,0.7270173850456633
9.0,50.0,0.07307694938084168,0.4634680157613832,24.0,55.0,0.03402279338086461,0.4559079625866154,0.08653340439956714,0.19979555753227318,0.7674464535818257,0.5940437646546206,0.46306093253671987
6.0,30.0,0.026470886739075505,0.43483977470645485,9.0,35.0,0.041596706071639754,0.4272222320786142,0.06218385367500351,0.18246102981109205,0.8333232969299831,0.6359019487316707,0.5109340915630993
39.0,35.0,0.020315098017531168,0.437816316917665,30.0,30.0,0.024342217730168123,0.4342490443776429,0.0562627927873185,0.06904895392390858,0.8572533671150417,0.775298410460223,0.8248130747059501
36.0,30.0,0.012023397056051807,0.4018898686467187,12.0,40.0,0.013805192364105021,0.401062151136226,0.06861063067588759,0.20920375975684483,0.8072637715745359,0.6835749720476603,0.41231929759637775
9.0,30.0,0.0959056347986211,0.4440881089866326,39.0,30.0,0.010140281668752787,0.39534278798760436,0.054519553948625905,0.05590183167942357,0.8640730174948478,0.7752640489305849,0.8606267523051427
45.0,45.0,0.010810238650083062,0.41699080335461475,21.0,40.0,0.029047790312002397,0.39030119325952495,0.06052560645581566,0.09578419232979817,0.8503521570838097,0.5584814251230875,0.7631763049233107
9.0,30.0,0.011759643128462002,0.5153129626269282,27.0,30.0,0.01782884382794859,0.4492931793920176,0.0471160590472327,0.07779594433828495,0.8802667005479259,0.7523334165223939,0.8023016931387463
15.0,30.0,0.015485103714754518,0.4261236997222359,51.0,35.0,0.010236381724668337,0.39108206710623683,0.07865872022092137,0.09469615586282458,0.7875324283916654,0.8119106085808074,0.7442132007702397
18.0,30.0,0.010097204513422069,0.45260967030674354,42.0,30.0,0.022104647057902993,0.4254205318285404,0.04820782410602151,0.13648770703585864,0.8800389773922549,0.43706404304169366,0.6603620841007258
