AverageAridityIndex,Longitude,MeanTemperatureofDriestQuarter,SoilOrganicCarbon,MeanDiurnalRange,UpperD_m,SiltContent,SoilTypeWRB,BulkDensity,Season_sin,AnnualPrecipitation,AnnualMeanTemperature,PrecipitationofDriestQuarter,Isothermality
-0.017894056201547166,0.028184588226966623,-0.08628884135498953,-0.0005847869737406532,0.05628956030532145,0.09443166554408892,0.040387760470527806,0.12725824259334514,0.23043519218087774,0.0604144665350143,-0.013658461232669327,0.010202537921338937,-0.003681583283603481,-0.03511769750885272
-0.017263328865084488,0.02771751650754464,-0.07182318918719904,0.008006397450500495,0.0579521069041249,0.09302132048322478,0.04968837402519535,0.0179152541593513,0.2232264654099212,0.06727323193965537,-0.02095099588309277,0.005661188318052337,-0.01028671345467652,-0.03552928489346999
-0.02493879074282841,0.0070037880827526185,-0.06903886924858102,-0.019106229540042197,0.047208159515683114,0.08980578178082903,0.010495894501078969,-0.12433759837267909,0.049194217958429265,0.05798883869933605,-0.051743196803324766,0.0045652478312158545,-0.015155007343974455,-0.04526090849701517
-0.012111981068187514,0.037691592793474636,0.15252564843217487,0.0018098370252575074,-0.017760073975141642,0.07072607215944689,0.05090705956417699,0.12854352226899884,0.11939871586594425,0.044486717061381124,0.020354837146156414,-0.03787990320357497,-0.0077584882371122986,0.007421309889580365
-0.009672440633189224,0.028982293378250385,0.13261054632144403,-0.03894823757298787,-0.01979885993158048,0.05837411260853983,0.045035480587843894,-0.04948437570755991,0.11309074632251397,0.032895353629818186,0.025973438407041277,-0.02813511338716882,-0.014363618408185338,0.008361532280913532
-0.011054550613640024,0.02830624852683356,0.14445922855176274,-0.03595930360554098,-0.018910337817508335,0.05602825163503388,0.04416605394017141,-0.05388306810979209,0.0756692251271556,0.06315086334406998,0.01837748159065729,-0.024782773600447394,-0.010158052150424776,0.0165492205756701
-0.011054550613640024,0.02830624852683356,0.14445922855176274,-0.03595930360554098,-0.018910337817508335,0.05602825163503388,0.04416605394017141,-0.05388306810979209,0.0756692251271556,0.06315086334406998,0.01837748159065729,-0.024782773600447394,-0.010158052150424776,0.0165492205756701
-0.011054550613640024,0.02830624852683356,0.14445922855176274,-0.03437562859084071,-0.018910337817508335,0.05602825163503388,0.04416605394017141,-0.05388306810979209,0.08898165231908536,0.06971998430015035,0.01837748159065729,-0.024782773600447394,-0.010158052150424776,0.0165492205756701
-0.011963736958617313,0.021813993835750355,0.14044653557917883,-0.04394307704334015,-0.01979885993158048,0.057987672376279144,0.04394670678649714,-0.06987275655640365,0.06965642184395175,0.024110086854593926,0.016434175249454074,-0.02755337984946639,-0.011394891342831339,0.015176586215821793
-0.011923022761135181,0.01992053533330756,0.14174098069470475,-0.042443909974076606,-0.01979885993158048,0.057987672376279144,0.047671193058265275,-0.15068486621998736,0.06905393125738706,0.024110086854593926,0.016434175249454074,-0.02734717738651455,-0.011394891342831339,0.0144822440810082
-0.011923022761135181,0.024399002384366646,0.14575367366728867,-0.024813751443032425,-0.018910337817508335,0.05602825163503388,0.047704860745535545,-0.14531396658826579,0.07770571051700426,0.06971998430015035,0.016927657438012653,-0.024576571137495555,-0.010158052150424776,0.015854878440856514
-0.011013836416157892,0.029957564691697677,0.1475830167334343,-0.017291523116414593,-0.01746183828311624,0.05602825163503388,0.047704860745535545,-0.09349021962972655,0.09191733983653365,0.07343095608924717,0.01837748159065729,-0.02482436226165617,-0.010158052150424776,0.015854878440856514
-0.012581906730355846,0.033487414042041835,0.15411062933102007,0.004020250708323805,-0.016290427651719532,0.05805524625353558,0.05498237278945721,0.0013793083994462305,0.09504475916597922,0.0769218198334976,0.021100610563850843,-0.026317595485217636,-0.010158052150424776,0.015854878440856514
0.11477669798854898,0.09919376464271619,0.1849845618769323,0.24434043628547802,-0.09995272650936854,0.06288957798792405,0.04427966450463145,0.06798923619138804,-0.06351229124937857,-0.05918891044058666,0.10611444566626282,-0.056694855482820355,-0.007260447440509906,-0.004696194577364748
0.11394498506528691,0.0981131395806168,0.15547908224044227,0.2626450049050734,-0.09863642433434912,0.0664931239347509,0.046590005730374806,-0.0807397012974547,-0.012506836808680125,-0.05395509981809095,0.09991119900347747,-0.05266645754897848,-0.01162421252608505,-0.0010750071507801221
-0.023878819226922587,0.052634247400503945,-0.10270779882054527,0.06925515949663276,-0.0912316978028913,-0.27194202752202223,-0.043519948182505264,0.08692401315966514,0.016025424821584186,-0.0809472699336019,-0.09040388943941999,0.00923923508739134,-0.006991716652321326,0.1421832858185941
-0.022544002586213408,0.051430818824314446,-0.08448461194548469,0.01292916574036866,-0.08667428294969967,-0.24554776874725154,-0.05996359109120983,0.0053574361558887534,0.04800024242496209,-0.09356129861867868,-0.08212144381549517,0.008400464998935191,-0.008415933135198235,0.1359356387135556
-0.022544002586213408,0.0493450386803557,-0.08233454483005327,0.008024810170744854,-0.08667428294969967,-0.24322247477193157,-0.053880070550955284,-0.00465118424277704,0.0038933786477788304,-0.09270573098108031,-0.08212144381549517,0.008265995357642763,-0.009115276160197108,0.13736299638395705
-0.019652380107572545,0.059123882147836565,-0.08586261577736146,0.06063607561555724,-0.08661023609177385,-0.268157028548233,-0.05283148355502006,0.02865897973751025,0.06292763754701106,0.04966560529679463,-0.08649677979913678,0.011221143612462634,0.0014204770970357257,0.1473681716880516
-0.021718906410548796,0.05846008932456181,-0.06977511154723416,0.06137281912451721,-0.097418701322509,-0.25601710047190596,-0.057528772721542804,-0.008992666925609499,-0.0019197042286579298,-0.0935702927006413,-0.08482318092181036,0.007190522190343724,-0.00672198067691402,0.14525792868666187
