SoilTypeWRB,BulkDensity,Longitude,AnnualPrecipitation,MeanTemperatureofDriestQuarter,SoilOrganicCarbon,MeanDiurnalRange,SoilTextureUSDA,Method,MeanTemperatureofWarmestQuarter,PrecipitationofDriestQuarter,AverageAridityIndex,PrecipitationofColdestQuarter,SiltContent
0.11425416207467766,0.19379491183009154,0.023668890538025122,-0.029669180612377846,-0.10177785320768173,0.007323741746620671,0.02704642059840822,-0.023033136880556006,0.05603632097820931,-0.0006549726008604712,-0.04421225119909521,0.10043712765135356,0.0196623885149263,0.059469893212448374
0.035749515426986817,0.17872597624710904,0.02420221837960894,-0.03041987495090522,-0.10146099118292269,0.002797202299940929,0.025397570775423414,-0.011267387307280646,0.039875166719328184,-0.001744572513147752,-0.04421225119909521,0.10037981337708937,0.02180905740860932,0.059937420313454455
-0.06749574968375681,0.06083037124924147,0.029967749712188504,-0.04169356960332707,-0.10688462668927934,-0.027773959097295308,0.02207697763059213,0.050194469455112495,0.005859947989531065,-0.007183125898187954,-0.05030505506130433,0.09905858795906188,0.01878675061555425,0.02543297888501794
0.149326484814221,0.031191932027519808,0.0660111411146904,0.025912695506580496,0.1420862908797175,-0.008442396889862192,-0.033490092600961106,-0.02323204648722527,0.04593176204963401,0.01560958334962422,-0.06781883273962279,0.052467264663959824,-0.04075623776396359,0.03323793895583443
-0.028541009682409926,0.014347026231860733,0.053957094611240694,0.021573399817072073,0.14789207745993796,-0.031132537132332053,-0.03457570186177402,0.044731801435406206,0.0171496615864177,0.0077871987804388676,-0.06742808894468302,0.051484135349631185,-0.0371477786191591,0.017958474756703296
-0.0073482750308493765,0.02189177302874908,0.044815471774672835,0.022480734927242754,0.17820427323604765,-0.03497580013814078,-0.019597744360899123,0.047243223083971615,0.01055480212314231,0.0029196707313751537,-0.06387685543963854,0.05066637688227481,-0.036500878418035225,0.01782096568744651
-0.0073482750308493765,0.020358370520825095,0.04634887428259682,0.022480734927242754,0.17820427323604765,-0.03497580013814078,-0.019597744360899123,0.047243223083971615,0.01055480212314231,0.0029196707313751537,-0.06387685543963854,0.05066637688227481,-0.036500878418035225,0.01782096568744651
-0.03584730803201799,0.026784329783506935,0.044815471774672835,0.02091617362881933,0.17774105488333622,-0.031218049503212896,-0.019623794265671676,0.04711637715334924,0.010252076659010057,0.0029196707313751537,-0.06387685543963854,0.05066637688227481,-0.03687934678488636,0.01950410522739296
-0.0073482750308493765,0.02189177302874908,0.044815471774672835,0.022480734927242754,0.17820427323604765,-0.03497580013814078,-0.019597744360899123,0.047243223083971615,0.01055480212314231,0.0029196707313751537,-0.06387685543963854,0.05066637688227481,-0.036500878418035225,0.01782096568744651
-0.03606520249766392,0.02189177302874908,0.044815471774672835,0.02091617362881933,0.17759944511637396,-0.031218049503212896,-0.019623794265671676,0.04711637715334924,0.010535296192934609,0.0029196707313751537,-0.06387685543963854,0.05066637688227481,-0.03702095655184863,0.017958474756703296
-0.03584730803201799,0.02748894794675843,0.053910394495553876,0.02091617362881933,0.17611486298960993,-0.02512401926857904,-0.015230542018788647,-0.016492409394023196,0.013504460446462696,0.00809423527086272,-0.06387685543963854,0.05066637688227481,-0.041389394020999955,0.02025929191659947
-0.04583195824424937,0.03427529413299036,0.054824108183283496,0.02091617362881933,0.17865098170253457,-0.02593967623457085,-0.015230542018788647,-0.016492409394023196,0.01310344634748426,0.00809423527086272,-0.06387685543963854,0.040685522592700085,-0.041389394020999955,0.02025929191659947
0.07560891148986289,0.05386395357064174,0.05953309724275864,0.024890666716149226,0.17743144527824298,-0.01056970135533796,-0.015230542018788647,-0.017609789489424793,0.03242272210073711,0.011883540922956704,-0.06426759923457831,0.0510526683271132,-0.042636297071277085,0.029261216908208623
0.10391155054457178,-0.1030536794376343,0.13610256710071547,0.0073912359535606015,0.15187763609823024,0.13441819740688127,-0.13703969266477808,-0.017752094515264414,0.11817832977145809,-0.027581021846493005,-0.07036985693933329,0.15828371992695114,0.04889402064768245,0.05428466629165597
0.016405955089578126,-0.04344787298410017,0.13539984603547217,0.01965574486413839,0.16536325276628125,0.13927110745561289,-0.13697725539921118,-0.00898582358834695,0.0995287282977458,-0.02251725839766076,-0.06603312434012024,0.16022561614994088,0.055900968636472495,0.05373894926547991
0.0989664340816518,-0.010926761464914876,0.13047626287329986,-0.08588503955524307,-0.15211022118011933,-0.05471504742639983,-0.09144572791634545,-0.04186533393563355,0.06217170071053228,-0.027752466484020945,-0.02833122656880526,-0.12767724607568162,-0.028374120095394494,-0.061857476697604254
-0.06083108415112668,0.022915899020386304,0.12603926553367542,-0.08025178869462839,-0.1487173438586607,-0.09912171070115101,-0.08482224197351133,0.0017829104526761001,0.07544728403496506,-0.006150316339538212,-0.017984153738421733,-0.11326428599232864,-0.03684723298815234,-0.05253394739571948
-0.060579498252955645,0.003769993193113899,0.12407044670477857,-0.08173438919584577,-0.13232863340880222,-0.10069838270715191,-0.09080598504449747,-0.041778963026670723,0.07871691853027252,-0.003091563616243057,-0.02088574654448528,-0.11396083141246494,-0.03910177139956788,-0.04750315602934264
-0.07504902945087331,-0.071320482106041,0.11971164688457156,-0.07906499236437961,-0.13736180218157068,-0.06818766855964972,-0.09406908693273332,-0.0058658550591846916,0.07630662937585474,-0.001185906576473557,-0.02208808179904136,-0.1261761737207818,-0.03552385398581523,-0.047751477919644965
