SiltContent,SoilTypeWRB,MeanTemperatureofWarmestQuarter,BulkDensity,PrecipitationofColdestQuarter,MeanTemperatureofDriestQuarter,SoilTextureUSDA,PrecipitationofDriestQuarter,AverageAridityIndex,Season_sin,AnnualPrecipitation,SoilOrganicCarbon,UpperD_m,Longitude,MeanDiurnalRange
0.38,1.2621258000467888,17.08333396911621,0.82,45.0,-12.43333339691162,1.2621258000467888,45.0,0.0413,0.8660254037844387,397.0,0.059,0.0,-106.0,11.90833377838135
0.39,1.4811166903917603,17.08333396911621,0.81,45.0,-12.43333339691162,1.4811166903917603,45.0,0.0413,0.8660254037844387,397.0,0.052,0.0,-106.0,11.90833377838135
0.34,1.542316004894806,17.08333396911621,1.11,45.0,-12.43333339691162,1.542316004894806,45.0,0.0413,0.8660254037844387,397.0,0.036,0.0,-106.0,11.90833377838135
0.279,1.2621258000467888,22.26666641235352,1.3362275305599995,289.0,21.98333358764648,1.2621258000467888,32.0,0.0458,0.0,692.0,0.073256,0.005,-8.5,10.00833320617676
0.279,1.544668483151566,22.26666641235352,1.3089546210399996,289.0,21.98333358764648,1.544668483151566,32.0,0.0458,0.0,692.0,0.073256,0.005,-8.5,10.00833320617676
0.279,1.5638459544432528,22.26666641235352,1.25490471883,289.0,21.98333358764648,1.5638459544432528,32.0,0.0458,0.8660254037844387,692.0,0.073256,0.005,-8.5,10.00833320617676
0.279,1.553363917154949,22.26666641235352,1.25650471883,289.0,21.98333358764648,1.553363917154949,32.0,0.0458,0.8660254037844387,692.0,0.073256,0.005,-8.5,10.00833320617676
0.279,1.5472163335679203,22.26666641235352,1.25188491443,289.0,21.98333358764648,1.5472163335679203,32.0,0.0458,0.8660254037844387,692.0,0.073256,0.005,-8.5,10.00833320617676
0.279,1.5824043643002728,22.26666641235352,1.2293767481699998,289.0,21.98333358764648,1.5824043643002728,32.0,0.0458,0.0,692.0,0.073256,0.005,-8.5,10.00833320617676
0.279,1.5440183286747309,22.26666641235352,1.2291867481699998,289.0,21.98333358764648,1.5440183286747309,32.0,0.0458,0.0,692.0,0.073256,0.005,-8.5,10.00833320617676
0.279,1.5094183428268466,22.26666641235352,1.24707674817,289.0,21.98333358764648,1.5094183428268466,32.0,0.0458,0.8660254037844387,692.0,0.073256,0.005,-8.5,10.00833320617676
0.279,1.4979292299438827,22.26666641235352,1.25338674817,289.0,21.98333358764648,1.4979292299438827,32.0,0.0458,0.8660254037844387,692.0,0.073256,0.005,-8.5,10.00833320617676
0.279,1.4906133342662393,22.26666641235352,1.2502867481699997,289.0,21.98333358764648,1.4906133342662393,32.0,0.0458,0.8660254037844387,692.0,0.073256,0.005,-8.5,10.00833320617676
0.4292,1.2621258000467888,25.45000076293945,1.42,73.0,25.26666641235352,1.449586040493226,31.0,0.0177,-0.01732050807568883,303.0,0.0062209,0.0,-1.0,11.35833358764648
0.4292,1.5407779743449135,25.45000076293945,1.36,73.0,25.26666641235352,1.5235548621231882,31.0,0.0177,-0.00866025403784445,303.0,0.0062209,0.0,-1.0,11.35833358764648
0.783,1.2621258000467888,17.68333435058594,1.2393033985299995,155.0,6.666666507720947,1.2621258000467888,140.0,0.0648,-2.449293598294706e-16,621.0,0.010291,0.12,1.8,8.716666221618652
0.746,1.1280059822845678,17.68333435058594,1.2596636185799996,155.0,6.666666507720947,1.1280059822845678,140.0,0.0648,-2.449293598294706e-16,621.0,0.010872,0.12,1.8,8.716666221618652
0.663,1.0737404293438404,17.68333435058594,1.284245158919999,155.0,6.666666507720947,1.2621258000467888,140.0,0.0648,-2.449293598294706e-16,621.0,0.010814,0.1,1.8,8.716666221618652
0.783,0.9410521141130801,17.68333435058594,1.3339213447399991,155.0,6.666666507720947,1.0737404293438406,140.0,0.0648,0.0,621.0,0.010291,0.12,1.8,8.716666221618652
0.783,0.9590302538140122,17.68333435058594,1.3614413447399993,155.0,6.666666507720947,1.0630410251623155,140.0,0.0648,-0.8660254037844385,621.0,0.010291,0.12,1.8,8.716666221618652
0.468,0.9186240029800495,17.68333435058594,1.36255134474,155.0,6.666666507720947,1.574665831367052,140.0,0.0648,0.0,621.0,0.0057,0.3,1.8,8.716666221618652
0.468,0.9555040623617438,17.68333435058594,1.3889613447400004,155.0,6.666666507720947,1.5178256295506027,140.0,0.0648,-0.8660254037844385,621.0,0.0057,0.3,1.8,8.716666221618652
0.30260401996999975,1.2621258000467888,24.39999961853027,1.18,36.0,3.116666555404663,0.9025564842337938,36.0,0.0216,0.8660254037844387,470.0,0.01,0.0,-102.0,16.29999923706055
0.2885040199699998,1.589306455818198,24.39999961853027,1.25,36.0,3.116666555404663,1.2405333600190647,36.0,0.0216,0.8660254037844387,470.0,0.013,0.0,-102.0,16.29999923706055
0.3351306194399999,1.5865792208045584,24.39999961853027,1.17,36.0,3.116666555404663,1.3256812077086184,36.0,0.0216,0.8660254037844387,470.0,0.0225,0.0,-102.0,16.29999923706055
0.2923010208299998,1.588856326597702,24.39999961853027,1.18,36.0,3.116666555404663,1.3796824949623212,36.0,0.0216,0.8660254037844387,470.0,0.01,0.0,-102.0,16.29999923706055
0.29173313637999987,1.5842458914782476,24.39999961853027,1.25,36.0,3.116666555404663,1.4107027709686728,36.0,0.0216,0.8660254037844387,470.0,0.013,0.0,-102.0,16.29999923706055
0.30697149866999984,1.5414851630481363,24.39999961853027,1.17,36.0,3.116666555404663,1.3988425923870882,36.0,0.0216,0.8660254037844387,470.0,0.0225,0.0,-102.0,16.29999923706055
