study1_num_leaves,study1_min_child_samples,study1_min_split_gain,study1_val,study2_num_leaves,study2_min_child_samples,study2_min_split_gain,study2_val,rmse_train,rmse_test,r2_train,r2_test,glob_r2_test
12.0,35.0,0.014236359222214535,0.39993086255686616,18.0,30.0,0.023705503706202436,0.3936155146774956,0.04817840674807792,0.0973875432028141,0.8813200892728758,0.7071498717927698,0.7601011383859213
42.0,45.0,0.031666777016626055,0.40698988643856676,30.0,35.0,0.023957482000998846,0.4148315142687102,0.05414438057146662,0.1681286947997069,0.8586199942810848,0.6776317007038087,0.56098794405965
39.0,30.0,0.010969369028035901,0.3758704867922308,51.0,30.0,0.010074954273601302,0.3743207777845865,0.05008871582707926,0.1623887099637697,0.8674380957129617,0.7230091634174565,0.5702314129627768
36.0,35.0,0.018695967543482697,0.40934375121117395,48.0,30.0,0.013740758587426285,0.39291766548297236,0.055115915802083845,0.08501226119394267,0.8624889419350193,0.7675932377718246,0.7878992698360721
6.0,30.0,0.011690141237256712,0.4107105368535222,36.0,30.0,0.020667567889929416,0.4595187326026896,0.05582697434484485,0.14470869882843826,0.8519768584763106,0.7581999710372085,0.61631027907625
18.0,30.0,0.03605086555868193,0.38308579190530195,33.0,35.0,0.027541561811350243,0.37136388810650095,0.05714359302069443,0.06792269223850701,0.8619566538719683,0.7414195980743934,0.8359172880285564
42.0,30.0,0.016107038665143958,0.4237687714865851,45.0,30.0,0.010644745945222703,0.3800285863981381,0.053172432585790685,0.07448152666181364,0.8715489714634304,0.7121410289203914,0.8200716378501639
48.0,30.0,0.038636201849565316,0.447060072441831,24.0,30.0,0.015234130661957463,0.41659489230748115,0.05495823297129835,0.07763456963066293,0.8665513765527895,0.722665391990614,0.811489091096885
36.0,30.0,0.021169373992851057,0.3884099046572029,42.0,30.0,0.029095690475536822,0.38235435555581454,0.06435311731934687,0.06068657992796551,0.8346347177022918,0.8675582784910643,0.844056452282329
39.0,30.0,0.01415600819347329,0.43207990217388625,33.0,35.0,0.037667744309907304,0.4349397046846771,0.05229857054078138,0.07765479655014515,0.8742939724262675,0.6812256294304416,0.8133471738247
