SoilTypeWRB,Method,PrecipitationofColdestQuarter,AverageAridityIndex,Longitude,BulkDensity,Season_sin,MeanTemperatureofDriestQuarter,SoilOrganicCarbon,SiltContent,AnnualPrecipitation,UpperD_m
1.2621258000467888,1.2621258000467888,45.0,0.0413,-106.0,0.82,0.8660254037844387,-12.43333339691162,0.059,0.38,397.0,0.0
1.4811166903917603,1.4811166903917603,45.0,0.0413,-106.0,0.81,0.8660254037844387,-12.43333339691162,0.052,0.39,397.0,0.0
1.542316004894806,1.542316004894806,45.0,0.0413,-106.0,1.11,0.8660254037844387,-12.43333339691162,0.036,0.34,397.0,0.0
1.2621258000467888,1.2621258000467888,289.0,0.0458,-8.5,1.3362275305599995,0.0,21.98333358764648,0.073256,0.279,692.0,0.005
1.544668483151566,1.544668483151566,289.0,0.0458,-8.5,1.3089546210399996,0.0,21.98333358764648,0.073256,0.279,692.0,0.005
1.5638459544432528,1.5638459544432528,289.0,0.0458,-8.5,1.25490471883,0.8660254037844387,21.98333358764648,0.073256,0.279,692.0,0.005
1.553363917154949,1.553363917154949,289.0,0.0458,-8.5,1.25650471883,0.8660254037844387,21.98333358764648,0.073256,0.279,692.0,0.005
1.5472163335679203,1.5472163335679203,289.0,0.0458,-8.5,1.25188491443,0.8660254037844387,21.98333358764648,0.073256,0.279,692.0,0.005
1.5824043643002728,1.5824043643002728,289.0,0.0458,-8.5,1.2293767481699998,0.0,21.98333358764648,0.073256,0.279,692.0,0.005
1.5440183286747309,1.5440183286747309,289.0,0.0458,-8.5,1.2291867481699998,0.0,21.98333358764648,0.073256,0.279,692.0,0.005
1.5094183428268466,1.5094183428268466,289.0,0.0458,-8.5,1.24707674817,0.8660254037844387,21.98333358764648,0.073256,0.279,692.0,0.005
1.4979292299438827,1.4979292299438827,289.0,0.0458,-8.5,1.25338674817,0.8660254037844387,21.98333358764648,0.073256,0.279,692.0,0.005
1.4906133342662393,1.4906133342662393,289.0,0.0458,-8.5,1.2502867481699997,0.8660254037844387,21.98333358764648,0.073256,0.279,692.0,0.005
1.2621258000467888,1.2621258000467888,73.0,0.0177,-1.0,1.42,-0.01732050807568883,25.26666641235352,0.0062209,0.4292,303.0,0.0
1.5407779743449135,1.5407779743449135,73.0,0.0177,-1.0,1.36,-0.00866025403784445,25.26666641235352,0.0062209,0.4292,303.0,0.0
1.2621258000467888,1.5394629242154132,155.0,0.0648,1.8,1.2393033985299995,-2.449293598294706e-16,6.666666507720947,0.010291,0.783,621.0,0.12
1.1280059822845678,1.493998194240991,155.0,0.0648,1.8,1.2596636185799996,-2.449293598294706e-16,6.666666507720947,0.010872,0.746,621.0,0.12
1.0737404293438404,1.4533221272580217,155.0,0.0648,1.8,1.284245158919999,-2.449293598294706e-16,6.666666507720947,0.010814,0.663,621.0,0.1
0.9410521141130801,1.3882982016267913,155.0,0.0648,1.8,1.3339213447399991,0.0,6.666666507720947,0.010291,0.783,621.0,0.12
0.9590302538140122,1.364474509026188,155.0,0.0648,1.8,1.3614413447399993,-0.8660254037844385,6.666666507720947,0.010291,0.783,621.0,0.12
0.9186240029800495,1.323981899012691,155.0,0.0648,1.8,1.36255134474,0.0,6.666666507720947,0.0057,0.468,621.0,0.3
0.9555040623617438,1.3153232236973507,155.0,0.0648,1.8,1.3889613447400004,-0.8660254037844385,6.666666507720947,0.0057,0.468,621.0,0.3
1.2621258000467888,1.2621258000467888,36.0,0.0216,-102.0,1.18,0.8660254037844387,3.116666555404663,0.01,0.30260401996999975,470.0,0.0
1.589306455818198,1.589306455818198,36.0,0.0216,-102.0,1.25,0.8660254037844387,3.116666555404663,0.013,0.2885040199699998,470.0,0.0
1.5865792208045584,1.5865792208045584,36.0,0.0216,-102.0,1.17,0.8660254037844387,3.116666555404663,0.0225,0.3351306194399999,470.0,0.0
1.588856326597702,1.588856326597702,36.0,0.0216,-102.0,1.18,0.8660254037844387,3.116666555404663,0.01,0.2923010208299998,470.0,0.0
1.5842458914782476,1.5842458914782476,36.0,0.0216,-102.0,1.25,0.8660254037844387,3.116666555404663,0.013,0.29173313637999987,470.0,0.0
1.5414851630481363,1.5414851630481363,36.0,0.0216,-102.0,1.17,0.8660254037844387,3.116666555404663,0.0225,0.30697149866999984,470.0,0.0
1.5169329557445155,1.5169329557445155,36.0,0.0216,-102.0,1.18,0.8660254037844387,3.116666555404663,0.01,0.2920610208299998,470.0,0.0
1.561330215503025,1.561330215503025,36.0,0.0216,-102.0,1.25,0.8660254037844387,3.116666555404663,0.013,0.2918722536599998,470.0,0.0
1.535866770414161,1.535866770414161,36.0,0.0216,-102.0,1.17,0.8660254037844387,3.116666555404663,0.0225,0.30697149866999984,470.0,0.0
1.2621258000467888,1.3010735658084678,213.0,0.104,-75.0,1.3705138141799993,0.8660254037844387,-6.849999904632568,0.0216,0.52,990.0,0.05
1.0991363501696274,1.2818668992023625,213.0,0.104,-75.0,1.3882404645499997,0.8660254037844387,-6.849999904632568,0.0216,0.52,990.0,0.05
0.9684197272787078,1.234898320260719,81.0,0.07880000000000001,-89.5,1.37,0.0,-7.583333492279053,0.0052326,0.40593181666,811.0,0.0
1.0844150698313717,1.2719211531174792,81.0,0.07880000000000001,-89.5,1.57,0.0,-7.583333492279053,0.0046512,0.33799937185999995,811.0,0.0
1.2621258000467888,1.2781641219941828,249.0,0.0922,-76.0,1.13,0.0,0.5499999523162842,0.11,0.534,1146.0,0.0
0.9744690374092357,1.2524531721149437,249.0,0.0922,-76.0,1.5,0.0,0.5499999523162842,0.015,0.535,1146.0,0.0
0.9442702339068951,1.2370956493977465,249.0,0.0922,-76.0,1.58,0.0,0.5499999523162842,0.03,0.359,1146.0,0.0
0.939389809384491,1.2246017648545278,249.0,0.0922,-76.0,1.69,0.0,0.5499999523162842,0.014,0.584,1146.0,0.0
0.8709708323462545,1.2004745786752502,249.0,0.0922,-76.0,1.13,-0.8660254037844385,0.5499999523162842,0.11,0.534,1146.0,0.0
0.8595901813077211,1.185741702654502,249.0,0.0922,-76.0,1.5,-0.8660254037844385,0.5499999523162842,0.015,0.535,1146.0,0.0
0.8538121088079988,1.1726489159100435,249.0,0.0922,-76.0,1.58,-0.8660254037844385,0.5499999523162842,0.03,0.359,1146.0,0.0
0.8425479662905246,1.1585471935913598,249.0,0.0922,-76.0,1.69,-0.8660254037844385,0.5499999523162842,0.014,0.584,1146.0,0.0
0.7931996320719459,1.1332093857490915,208.0,0.09860000000000001,-78.0,0.88,0.0,-3.150000095367432,0.071,0.635,1038.0,0.0
0.8138323788587589,1.1288970539488006,208.0,0.09860000000000001,-78.0,1.56,0.0,-3.150000095367432,0.014,0.671,1038.0,0.0
0.830200904828176,1.124677963654224,208.0,0.09860000000000001,-78.0,1.47,0.0,-3.150000095367432,0.02,0.639,1038.0,0.0
0.8620892824931977,1.1273501901134426,208.0,0.09860000000000001,-78.0,1.59,0.0,-3.150000095367432,0.012,0.466,1038.0,0.0
0.8905666715867564,1.130436812189796,208.0,0.09860000000000001,-78.0,0.88,-0.8660254037844385,-3.150000095367432,0.071,0.635,1038.0,0.0
0.8795076366226147,1.119159765615481,208.0,0.09860000000000001,-78.0,1.56,-0.8660254037844385,-3.150000095367432,0.014,0.671,1038.0,0.0
0.8592055941294452,1.1040435776601918,208.0,0.09860000000000001,-78.0,1.47,-0.8660254037844385,-3.150000095367432,0.02,0.639,1038.0,0.0
0.8369884520515477,1.0878189220716215,208.0,0.09860000000000001,-78.0,1.59,-0.8660254037844385,-3.150000095367432,0.012,0.466,1038.0,0.0
0.8157919748818969,1.071735485705723,249.0,0.0922,-76.0,1.64,0.0,0.5499999523162842,0.11,0.423,1146.0,0.0
0.836999828524201,1.0749610717246372,249.0,0.0922,-76.0,1.6,0.0,0.5499999523162842,0.013,0.421,1146.0,0.0
0.8349351833443213,1.0680313341841834,249.0,0.0922,-76.0,1.55,0.0,0.5499999523162842,0.021,0.57,1146.0,0.0
0.8467305679237718,1.0680999083487968,249.0,0.0922,-76.0,1.78,0.0,0.5499999523162842,0.005,0.23,1146.0,0.0
0.8603948280771935,1.0696613398439594,249.0,0.0922,-76.0,1.64,-0.8660254037844385,0.5499999523162842,0.11,0.423,1146.0,0.0
0.8658617075497973,1.0675916848818785,249.0,0.0922,-76.0,1.6,-0.8660254037844385,0.5499999523162842,0.013,0.421,1146.0,0.0
0.8628807076203572,1.0614486627066693,249.0,0.0922,-76.0,1.55,-0.8660254037844385,0.5499999523162842,0.021,0.57,1146.0,0.0
0.8382856069488355,1.0439186544577175,249.0,0.0922,-76.0,1.78,-0.8660254037844385,0.5499999523162842,0.005,0.23,1146.0,0.0
1.2621258000467888,1.0443093101488838,85.0,0.0257,-0.06667,1.22,-2.449293598294706e-16,8.566666603088379,0.011,0.473,410.0,0.01
1.4136002620657644,1.0553894253390084,85.0,0.0257,-0.06667,1.14,-2.449293598294706e-16,8.566666603088379,0.011,0.473,410.0,0.01
1.4398833177133978,1.0644948420821263,85.0,0.0257,-0.06667,1.3,-2.449293598294706e-16,8.566666603088379,0.011,0.473,410.0,0.01
1.527629708401845,1.2621258000467888,173.0,0.046,-117.0,0.75,0.0,17.45000076293945,0.0371,0.715,565.0,0.0
1.535174157425544,1.4363722238546601,173.0,0.046,-117.0,1.1,0.0,17.45000076293945,0.0147,0.704,565.0,0.0
1.4336061526468071,1.063034182596674,173.0,0.046,-117.0,1.1,0.0,17.45000076293945,0.0182,0.736,565.0,0.0
1.3898460754978248,1.013456924375015,173.0,0.046,-117.0,0.9,0.0,17.45000076293945,0.0319,0.714,565.0,0.05
