study1_num_leaves,study1_min_child_samples,study1_min_split_gain,study1_val,study2_num_leaves,study2_min_child_samples,study2_min_split_gain,study2_val,rmse_train,rmse_test,r2_train,r2_test,glob_r2_test
39.0,30.0,0.01576762850112698,0.39838906107994265,18.0,30.0,0.010608565413742593,0.39767478206553064,0.051338683523838656,0.07509220936514616,0.8752248780510508,0.7395199320050742,0.8174935752569225
9.0,60.0,0.01678157894528625,0.4208774524378957,24.0,60.0,0.054613816073847535,0.3991495111421991,0.0918487715795735,0.0815379530216021,0.7714521646901678,0.7810985639371766,0.7971086347895554
27.0,35.0,0.01939861779413782,0.4032615998986593,45.0,50.0,0.015731161821287483,0.4047224166770172,0.0772959958869957,0.06546090435402602,0.8113608170054211,0.7831316995483911,0.8402440983685255
21.0,45.0,0.021423524677394112,0.38073741687239054,18.0,50.0,0.022358190031016884,0.4050977806173332,0.07969748342512989,0.10066168660723178,0.8075979551011884,0.6162110792845537,0.7569871279011073
33.0,30.0,0.015425547288720809,0.3999813745039585,51.0,30.0,0.024071922350622103,0.3966382816139561,0.05025507849702918,0.11470734904460969,0.871386817925116,0.7527052171231148,0.7064400731386026
33.0,30.0,0.015847779770374357,0.3700981186615585,9.0,45.0,0.03323410958897737,0.39497901216292247,0.0709170413491276,0.1258411344986192,0.8195079410750369,0.7224411226167036,0.6797197820014753
27.0,35.0,0.028784690960926756,0.39372847391153526,42.0,30.0,0.012628874566751916,0.38081823355521177,0.050892466104712264,0.11537571422100575,0.8763044571820819,0.5585991964373536,0.7195761437614663
30.0,50.0,0.02477303277848214,0.42660134128383415,33.0,30.0,0.01631119301265212,0.43641936436836437,0.04177765601216689,0.134324023947467,0.896070453403148,0.5924501901283936,0.6658444671510698
24.0,30.0,0.014909564299559471,0.4295847085710196,45.0,30.0,0.017484848224981857,0.41843818274158523,0.047159751165695415,0.10930623929768433,0.8760768272985249,0.8043656393536842,0.7127725309185067
12.0,65.0,0.14565481401970037,0.43619127792737517,36.0,30.0,0.010000779655997752,0.40977862480712673,0.05553974197685599,0.1941647910516773,0.850991064080765,0.6598949101263155,0.47907051999544004
