Longitude,SiltContent,BulkDensity,Isothermality,SoilTextureUSDA,UpperD_m,AnnualMeanTemperature,MeanTemperatureofWarmestQuarter,SoilTypeWRB,Direction,TillageClass,PrecipitationofDriestQuarter,SamplingTimeClass,PrecipitationofColdestQuarter
0.061490480603804035,0.042257200951213644,0.35782248022022656,-0.08826292116649566,0.024309722285862118,0.11189992850730712,0.0015548839116130452,0.06034388057275392,0.11994547868315367,0.09393444799588538,-0.033929220887115905,-0.02803249948245248,-0.1572287553633649,0.005539553671115352
0.046287066031583314,0.03174274168063645,0.2665945357395196,-0.06542190987359417,0.17288591653672197,0.11608350057234583,0.014910587165544503,0.038785128631749544,-0.06788629906625016,-0.10286215631488406,-0.05918312522479595,-0.026484346195873434,0.11613885834835923,0.03978547519511729
-0.008944835576148735,0.024665051137772634,0.02100597832679772,-0.08843216085520428,0.17750473552458157,0.11351128021281735,0.010357041431565793,0.03863026818605442,-0.0706282979922277,-0.11171527151115795,-0.06981864038965717,-0.0516699429291952,-0.035026025930432025,0.02019523948352097
0.11107264200345872,0.045210614965415744,-0.08088654181425906,0.052437154219856494,0.026924508990884687,0.042837548719607585,-0.02756275357303679,0.024012831396057584,0.13420149413237661,0.1770781737748646,-0.059781108712152496,0.02853327539545131,0.0371483353803065,0.030850744628777804
0.08448844564106628,0.04206791093303361,-0.026665351919218237,0.04177554005244052,0.22333665474554432,0.05708243732994967,-0.016201792861884466,0.005561369136945404,-0.013382676247905033,-0.11951385718789936,0.07930185399605076,-0.009172644211296186,-0.03795487834119447,0.02043919612187561
0.07690129338735888,0.04680374886722486,-0.017868500795021877,0.025875020901768842,0.22361227097206232,0.057209062328612,-0.017239083071671008,0.008201482446940855,-0.007626168014869951,-0.13862758420092233,0.07490067474710152,-0.0030791354941758545,0.08413087503474538,-0.00039181569223526965
0.08054741929315916,0.043661051839662644,-0.013731516337841037,0.026085961951328746,0.22361227097206232,0.057209062328612,-0.01689356892765242,0.008201482446940855,-0.011426119410157191,-0.1336533033093527,0.07505356412926165,-0.0006743226308133485,0.1136875811374537,-0.0011437288711279177
0.08054741929315916,0.043661051839662644,-0.013731516337841037,0.026085961951328746,0.22361227097206232,0.057209062328612,-0.01689356892765242,0.008201482446940855,-0.011426119410157191,-0.1336533033093527,0.07505356412926165,-0.0006743226308133485,0.1136875811374537,-0.0011437288711279177
0.07598384540119703,0.037744719728061676,-0.03761947217361376,0.025993030004885835,0.22438613013366884,0.057209062328612,-0.020418149290443385,-0.005433652337128781,-0.032372210322021665,-0.14736201326264395,-0.1012498923673419,-0.01829754516279508,0.11704489716557803,0.0021825312452128393
0.0777399763700102,0.04306885218205804,-0.03589287192461936,0.025993030004885835,0.2244803101367975,0.057209062328612,-0.02011842854605946,-0.005433652337128781,-0.0323873524488375,-0.14593744453697535,-0.08706798250596605,-0.014306581157967497,0.11733523022839093,0.0021825312452128393
