SoilTypeWRB,Method,BulkDensity,AnnualPrecipitation,MeanTemperatureofDriestQuarter,SoilOrganicCarbon,MeanDiurnalRange,Longitude,AverageAridityIndex
0.9321215927452601,0.9321215927452601,0.82,397.0,-12.43333339691162,0.059,11.90833377838135,-106.0,0.0413
1.1023832406686214,1.1023832406686214,0.81,397.0,-12.43333339691162,0.052,11.90833377838135,-106.0,0.0413
1.1403154586214737,1.1403154586214737,1.11,397.0,-12.43333339691162,0.036,11.90833377838135,-106.0,0.0413
0.9321215927452601,0.9321215927452601,1.3377029095399993,692.0,21.98333358764648,0.073256,10.00833320617676,-8.5,0.0458
1.1885122998140585,1.1885122998140585,1.2954920537899997,692.0,21.98333358764648,0.073256,10.00833320617676,-8.5,0.0458
1.2360994660206404,1.2360994660206404,1.2878420537899995,692.0,21.98333358764648,0.073256,10.00833320617676,-8.5,0.0458
1.242080037388874,1.242080037388874,1.2839420537899997,692.0,21.98333358764648,0.073256,10.00833320617676,-8.5,0.0458
1.2139008124709394,1.2139008124709394,1.2842420537899997,692.0,21.98333358764648,0.073256,10.00833320617676,-8.5,0.0458
1.2208547407790495,1.2208547407790495,1.2847720537899996,692.0,21.98333358764648,0.073256,10.00833320617676,-8.5,0.0458
1.1889641486076463,1.1889641486076463,1.2820420537899997,692.0,21.98333358764648,0.073256,10.00833320617676,-8.5,0.0458
1.1569780200283573,1.1569780200283573,1.2819303667499997,692.0,21.98333358764648,0.073256,10.00833320617676,-8.5,0.0458
1.1495287699765444,1.1495287699765444,1.28125036675,692.0,21.98333358764648,0.073256,10.00833320617676,-8.5,0.0458
1.1391231342766361,1.1391231342766361,1.2804603667499999,692.0,21.98333358764648,0.073256,10.00833320617676,-8.5,0.0458
0.9321215927452601,0.9321215927452601,1.42,303.0,25.26666641235352,0.0062209,11.35833358764648,-1.0,0.0177
1.1590342777751406,1.1590342777751406,1.36,303.0,25.26666641235352,0.0062209,11.35833358764648,-1.0,0.0177
0.9321215927452601,1.1640989963046287,1.2385809779899994,621.0,6.666666507720947,0.010291,8.716666221618652,1.8,0.0648
0.6363863458935879,1.0954783381994024,1.2668142298299994,621.0,6.666666507720947,0.010872,8.716666221618652,1.8,0.0648
0.5663794502113738,1.0440081320953674,1.2814683129599993,621.0,6.666666507720947,0.010814,8.716666221618652,1.8,0.0648
0.43334621931899464,0.9718823031344023,1.3477299999999999,621.0,6.666666507720947,0.010291,8.716666221618652,1.8,0.0648
0.4288411919065629,0.9344782217425646,1.3759099999999997,621.0,6.666666507720947,0.010291,8.716666221618652,1.8,0.0648
0.39351480759685126,0.8896285132616726,1.33879,621.0,6.666666507720947,0.0057,8.716666221618652,1.8,0.0648
0.4391838635080912,0.8792502594801349,1.3766600000000002,621.0,6.666666507720947,0.0057,8.716666221618652,1.8,0.0648
0.9321215927452601,0.9321215927452601,1.18,470.0,3.116666555404663,0.01,16.29999923706055,-102.0,0.0216
1.2849116071354842,1.2849116071354842,1.25,470.0,3.116666555404663,0.013,16.29999923706055,-102.0,0.0216
1.294343704636472,1.294343704636472,1.17,470.0,3.116666555404663,0.0225,16.29999923706055,-102.0,0.0216
1.2590511444066075,1.2590511444066075,1.18,470.0,3.116666555404663,0.01,16.29999923706055,-102.0,0.0216
1.2613998730793017,1.2613998730793017,1.25,470.0,3.116666555404663,0.013,16.29999923706055,-102.0,0.0216
1.2187631332070545,1.2187631332070545,1.17,470.0,3.116666555404663,0.0225,16.29999923706055,-102.0,0.0216
1.1917192017461298,1.1917192017461298,1.18,470.0,3.116666555404663,0.01,16.29999923706055,-102.0,0.0216
1.2429023021646268,1.2429023021646268,1.25,470.0,3.116666555404663,0.013,16.29999923706055,-102.0,0.0216
1.21569270381909,1.21569270381909,1.17,470.0,3.116666555404663,0.0225,16.29999923706055,-102.0,0.0216
0.9321215927452601,0.8649772451846007,1.3284811980400002,990.0,-6.849999904632568,0.0216,10.32499980926514,-75.0,0.104
0.6677227404537247,0.8406797000781581,1.3526861613700003,990.0,-6.849999904632568,0.0216,10.32499980926514,-75.0,0.104
0.4620778808396448,0.7933437569439233,1.37,811.0,-7.583333492279053,0.0052326,11.94166660308838,-89.5,0.07880000000000001
0.5784756521013886,0.8274539505273241,1.57,811.0,-7.583333492279053,0.0046512,11.94166660308838,-89.5,0.07880000000000001
0.9321215927452601,0.8404904497449223,1.13,1146.0,0.5499999523162842,0.11,10.58333301544189,-76.0,0.0922
0.6137973934947896,0.8167940473318526,1.5,1146.0,0.5499999523162842,0.015,10.58333301544189,-76.0,0.0922
0.5703658329442232,0.802906908353154,1.58,1146.0,0.5499999523162842,0.03,10.58333301544189,-76.0,0.0922
0.5716628053258263,0.7938127809178533,1.69,1146.0,0.5499999523162842,0.014,10.58333301544189,-76.0,0.0922
0.521399721553056,0.7756025734387811,1.13,1146.0,0.5499999523162842,0.11,10.58333301544189,-76.0,0.0922
0.49954575581664035,0.7613312161682544,1.5,1146.0,0.5499999523162842,0.015,10.58333301544189,-76.0,0.0922
0.5056386554140119,0.7535049603407541,1.58,1146.0,0.5499999523162842,0.03,10.58333301544189,-76.0,0.0922
0.4848396570382834,0.739220191653424,1.69,1146.0,0.5499999523162842,0.014,10.58333301544189,-76.0,0.0922
0.4227236543069387,0.7121060396801826,0.88,1038.0,-3.150000095367432,0.071,11.19999980926514,-78.0,0.09860000000000001
0.4373567105555437,0.7074914647483375,1.56,1038.0,-3.150000095367432,0.014,11.19999980926514,-78.0,0.09860000000000001
