universal R2,median global R2,median local R2
0.7013194779564792,0.6939074833019911,0.6743367432163301
0.7348656557350995,0.7585726011777354,0.7088158422451789
0.7228094256685872,0.7391957358310873,0.698954208020337
0.7376717198267566,0.7038345407424094,0.7325411826919119
0.743941424252187,0.7487951989897448,0.7500271534338586
0.7434133431647607,0.783413291185197,0.728921469767627
0.7283117064248688,0.717282683902802,0.714136818792634
0.7127448710866556,0.7297214041500052,0.7364540231620842
0.748275957236688,0.7318647881360757,0.7400019884710848
0.7257890350828982,0.7191879358950274,0.7306009128968767
