AverageAridityIndex,UpperD_m,SoilOrganicCarbon,BulkDensity,PrecipitationofDriestQuarter,Longitude,Season_sin,SoilTypeWRB,MeanDiurnalRange,AnnualPrecipitation,SiltContent,MeanTemperatureofDriestQuarter,Isothermality
-0.032563254070911735,0.09239954683135372,-0.006355708816565041,0.23050240825272572,0.004991237761531707,0.01694509871838412,0.052269451122733554,0.1433936130996006,0.06272929848136959,-0.010392250619916365,0.05568299623547776,-0.0660683569374586,-0.04978321713345618
-0.032085707596337075,0.09025695196049661,-0.002566092375918181,0.2288426802612522,-0.0020548100673929166,0.016264933205316707,0.060078163034696964,0.010083980698594853,0.06351497052658395,-0.019129505762383203,0.06350925015501402,-0.054021258310658925,-0.04604451162800922
-0.047846201903984226,0.08814640393405297,-0.021451793846313873,0.041658814003948705,-0.006764196280058063,0.00021844821244436404,0.051977647748966904,-0.09443251727807984,0.061728594941131205,-0.049655251953740945,0.0008249727823689226,-0.05080617192273552,-0.060459976257397366
-0.0321063229680678,0.05932790089388311,6.786657678363659e-05,0.11684005832050008,-0.0226778926070168,0.03564543444201042,0.04457835240967659,0.15601035549849243,-0.03550517213997874,0.022540889323439072,0.03982625975577393,0.14572775315325434,0.018051136338915533
-0.028565960034428673,0.05038832378437137,-0.029669013890602274,0.1121856010039342,-0.023325253996681308,0.023239605064586295,0.02806218127359975,-0.025535729797917604,-0.036158550449123535,0.026494903763221094,0.038663372741569904,0.130890393731196,0.021266021366441595
-0.029914818723064805,0.04948456352720477,-0.02374037195060724,0.07996011183180429,-0.02135308438873024,0.020652250208463053,0.05418131044375723,-0.013312740857823392,-0.03551367343626847,0.022249533727150356,0.03658744108501531,0.13997567106632977,0.024284616159160975
-0.029914818723064805,0.04948456352720477,-0.02374037195060724,0.07996011183180429,-0.02135308438873024,0.020652250208463053,0.05418131044375723,-0.013312740857823392,-0.03551367343626847,0.022249533727150356,0.03658744108501531,0.13997567106632977,0.024284616159160975
-0.029914818723064805,0.04948456352720477,-0.022580611410654938,0.0897090992218151,-0.02135308438873024,0.020652250208463053,0.058992024255819016,-0.013312740857823392,-0.03551367343626847,0.022249533727150356,0.03658744108501531,0.13997567106632977,0.024284616159160975
-0.030611416173330436,0.05016272245199638,-0.03391211679677475,0.06957889236185487,-0.023192280689878,0.012552132354828134,0.024929463060396857,-0.03711665804099382,-0.03584096166524896,0.011275140195071866,0.03861559711209416,0.1380465685134058,0.021756653993598378
-0.03312047670972546,0.05016272245199638,-0.03113174564877889,0.06955697919669912,-0.023192280689878,0.012552132354828134,0.025092601811186995,-0.11796383027667444,-0.03584096166524896,0.011647545407820209,0.04104539045542987,0.13820980209395686,0.021756653993598378
