universal R2,median global R2,median local R2
0.6268782291603348,0.6350201730263281,0.5913430957147887
0.6313823380417581,0.6292604749048475,0.6172551641968833
0.5995014460631098,0.6308747677452133,0.6181210588673185
0.6103888085315732,0.6306377967025243,0.5985520511169886
0.6583051945090471,0.6786514074114289,0.6539378320931791
0.5981382692910542,0.6316024311191704,0.6380756992900576
0.6224557287754993,0.6185362480544006,0.6003511581562031
0.6183109444549573,0.6577735184412388,0.6719098706181502
0.6376201586001036,0.6433924290060189,0.6113516543805552
0.6496361827445036,0.6459239601925955,0.6605790808944163
