study1_num_leaves,study1_min_child_samples,study1_min_split_gain,study1_val,study2_num_leaves,study2_min_child_samples,study2_min_split_gain,study2_val,rmse_train,rmse_test,r2_train,r2_test,glob_r2_test
15.0,30.0,0.025635560766120054,0.4072664315214334,33.0,30.0,0.012618841814928766,0.4269984336831185,0.05493903084899065,0.12155986373875077,0.8507408463757653,0.35273864603934235,0.6697444040067813
21.0,30.0,0.015616702293690077,0.40196905585254944,45.0,30.0,0.02242694130205489,0.38839457429401014,0.04467780809438133,0.10871198814491519,0.874223807780548,0.6308878470130319,0.6939558921827859
42.0,35.0,0.08604962406349598,0.47012900115285544,24.0,30.0,0.04411927226736917,0.4648916906330663,0.05855960428411758,0.14390321302911052,0.8313275275831318,0.5948088502152558,0.585507603285931
33.0,30.0,0.01199257573178525,0.3999185183179868,12.0,45.0,0.04861012372745298,0.4084541277012469,0.0640600516265468,0.2144414787786075,0.8143167399926623,0.44152514993538616,0.37842396549200874
45.0,30.0,0.014667402592111268,0.4436419695103686,33.0,35.0,0.0148726976002227,0.38427604131736093,0.06085076271721319,0.14968056629758597,0.8265555801432574,0.5546383344248458,0.5733618146092736
33.0,40.0,0.020742822281715968,0.46708572673472504,39.0,30.0,0.013509796001815086,0.4471747820619871,0.05646742345652198,0.09303505057263772,0.836215777761359,0.750534213892506,0.7301510770948388
15.0,60.0,0.02026247749494924,0.4933112085826571,27.0,35.0,0.010201588634571608,0.5027213056929826,0.07482534263371515,0.13650640517722096,0.7758456676589782,0.7234692694374043,0.5910676645670885
18.0,35.0,0.018237911774666774,0.40979174123508827,48.0,30.0,0.016029411442109356,0.39013958496132556,0.057691582617290196,0.11600320334668922,0.838429920035928,0.5878773412143217,0.6751233717205064
12.0,35.0,0.012000830251394284,0.45114830620468244,48.0,50.0,0.03945222340757383,0.4751015338530473,0.08364561194124814,0.13240552386265028,0.7474917243055897,0.7101445385463094,0.6002959420458748
18.0,30.0,0.010363177445935902,0.42745426210851917,6.0,30.0,0.01209353759948192,0.4737315452658993,0.06541405287605054,0.08677395326384242,0.8196231178612021,0.5454424553675776,0.7607239659917142
