study1_num_leaves,study1_min_child_samples,study1_min_split_gain,study1_val,study2_num_leaves,study2_min_child_samples,study2_min_split_gain,study2_val,rmse_train,rmse_test,r2_train,r2_test,glob_r2_test
9.0,35.0,0.010160176038162475,0.4043928212939747,27.0,30.0,0.016297707382231172,0.40190016171751797,0.05105599974508733,0.12415072185191338,0.8659307029060298,0.7110856784067208,0.6739893431624243
21.0,55.0,0.018792679556713945,0.48844432044731145,36.0,30.0,0.024378544482835933,0.46943512679093596,0.05247060837014521,0.11868771294893309,0.8642865233539171,0.6742614479505475,0.6930181932360269
45.0,35.0,0.20549583755503206,0.4171414244794024,45.0,40.0,0.14153809559295008,0.42158105974811666,0.07660619314962287,0.04499996319687005,0.8104726078081491,0.8005444438979881,0.8886679350222477
18.0,30.0,0.018114242834982894,0.4441061844550267,36.0,30.0,0.010154395563412355,0.431714271813102,0.04863060724939241,0.10954545066929226,0.8723501886676438,0.7357033275491588,0.7124556549635148
12.0,55.0,0.1427997777514203,0.4444020178324659,36.0,30.0,0.019112118800864632,0.46686825945895066,0.05687005705550867,0.15009542408222565,0.8400980666149975,0.7737847732607819,0.5779756563359215
30.0,30.0,0.01212410345544555,0.39185093437029356,48.0,30.0,0.015406973157421861,0.38788049607933617,0.05260538829338076,0.08948039598051742,0.872614726541272,0.34280271200926093,0.7833209661412629
33.0,30.0,0.027086140844547992,0.45552518036047707,51.0,30.0,0.010074275458319246,0.43605405327777047,0.052050080340749615,0.11870377239215665,0.8681087618914584,0.5740883825680514,0.699213000124822
21.0,30.0,0.010183046325713416,0.43577960828281415,21.0,30.0,0.010380487301891887,0.4605992648631066,0.046045963958572744,0.07953390989355383,0.8801186970467496,0.8024029345260583,0.7929323674147883
9.0,30.0,0.06222564927041068,0.39104628604730296,39.0,40.0,0.0199803945573249,0.3881258276367205,0.06335122988056219,0.1898779170101888,0.8323253036857523,0.5754156569111426,0.497441136794189
36.0,35.0,0.017863286514753985,0.3998977149962808,48.0,30.0,0.014977641265228677,0.42913378178353184,0.05214116779848688,0.10540406596756577,0.863617573702059,0.7361158981696831,0.7243011066825011
