Longitude,SoilTextureUSDA,BulkDensity,Isothermality,SoilOrganicCarbon,SoilTypeWRB,AnnualPrecipitation,UpperD_m,SiltContent,PrecipitationofDriestQuarter,AnnualMeanTemperature,MeanTemperatureofDriestQuarter,TillageClass
-106.0,1.4735732651134856,0.82,25.33687973022461,0.059,1.4735732651134856,397.0,0.0,0.38,45.0,2.020833253860474,-12.43333339691162,1.4472293720552596
-106.0,1.7443530861867957,0.81,25.33687973022461,0.052,1.7443530861867957,397.0,0.0,0.39,45.0,2.020833253860474,-12.43333339691162,1.4735732651134856
-106.0,1.8467601437335366,1.11,25.33687973022461,0.036,1.8467601437335366,397.0,0.0,0.34,45.0,2.020833253860474,-12.43333339691162,1.4735732651134856
-8.5,1.4735732651134856,1.48817,43.70451354980469,0.073256,1.4735732651134856,692.0,0.005,0.279,32.0,16.46249961853027,21.98333358764648,1.454937940978342
-8.5,1.8415462844815762,1.4626379706599995,43.70451354980469,0.073256,1.8415462844815762,692.0,0.005,0.279,32.0,16.46249961853027,21.98333358764648,1.7064650619354504
-8.5,1.852073563248596,1.4552926894799996,43.70451354980469,0.073256,1.852073563248596,692.0,0.005,0.279,32.0,16.46249961853027,21.98333358764648,1.7481308266472466
-8.5,1.8350086359133997,1.43809268948,43.70451354980469,0.073256,1.8350086359133997,692.0,0.005,0.279,32.0,16.46249961853027,21.98333358764648,1.7552674320993595
-8.5,1.8568205224390546,1.4355926894799997,43.70451354980469,0.073256,1.8568205224390546,692.0,0.005,0.279,32.0,16.46249961853027,21.98333358764648,1.7867342048397452
-8.5,1.8835222409902894,1.4344299999999996,43.70451354980469,0.073256,1.8835222409902894,692.0,0.005,0.279,32.0,16.46249961853027,21.98333358764648,1.4735732651134856
-8.5,1.847273861384126,1.4331099999999994,43.70451354980469,0.073256,1.847273861384126,692.0,0.005,0.279,32.0,16.46249961853027,21.98333358764648,1.5516784244303152
-8.5,1.8165348457384944,1.4436199999999997,43.70451354980469,0.073256,1.8165348457384944,692.0,0.005,0.279,32.0,16.46249961853027,21.98333358764648,1.5682395283599015
-8.5,1.806041849516613,1.43759,43.70451354980469,0.073256,1.806041849516613,692.0,0.005,0.279,32.0,16.46249961853027,21.98333358764648,1.6067041162053164
-8.5,1.8058444689649646,1.4370926894799998,43.70451354980469,0.073256,1.8058444689649646,692.0,0.005,0.279,32.0,16.46249961853027,21.98333358764648,1.6461769017642787
-1.0,1.7441457620109524,1.42,41.60561370849609,0.0062209,1.4735732651134856,303.0,0.0,0.4292,31.0,17.8791675567627,25.26666641235352,1.762573761970252
-1.0,1.779530029483962,1.36,41.60561370849609,0.0062209,1.6973201822447437,303.0,0.0,0.4292,31.0,17.8791675567627,25.26666641235352,1.7098072220880913
1.8,1.4735732651134856,1.3265540097899993,35.87105560302734,0.010291,1.4735732651134856,621.0,0.12,0.783,140.0,10.57499980926514,6.666666507720947,1.819633723254991
1.8,1.5603472518662902,1.3239777261699996,35.87105560302734,0.010872,1.5603472518662902,621.0,0.12,0.746,140.0,10.57499980926514,6.666666507720947,1.798069662675504
1.8,1.4735732651134856,1.3176640097899994,35.87105560302734,0.010814,1.541582484708132,621.0,0.1,0.663,140.0,10.57499980926514,6.666666507720947,1.7372938270460148
1.8,1.5415824847081323,1.3357540097899994,35.87105560302734,0.010291,1.4191187951102093,621.0,0.12,0.783,140.0,10.57499980926514,6.666666507720947,1.7654011390884274
1.8,1.5689530122850162,1.3450192909599992,35.87105560302734,0.010291,1.4655079550913008,621.0,0.12,0.783,140.0,10.57499980926514,6.666666507720947,1.7539674846811515
1.8,1.7999772673688943,1.3397444987899996,35.87105560302734,0.0057,1.423973691474936,621.0,0.3,0.468,140.0,10.57499980926514,6.666666507720947,1.6515980644548178
1.8,1.7771763025640257,1.3417210269099993,35.87105560302734,0.0057,1.454887523226347,621.0,0.3,0.468,140.0,10.57499980926514,6.666666507720947,1.6503505588192617
-102.0,1.2626504957149627,1.18,41.58163452148438,0.01,1.4735732651134856,470.0,0.0,0.29913832488999986,36.0,13.72500038146973,3.116666555404663,1.6348478000704731
-102.0,1.480596034339844,1.25,41.58163452148438,0.013,1.6950301883515464,470.0,0.0,0.2979458592199999,36.0,13.72500038146973,3.116666555404663,1.8154048744388351
-102.0,1.5550895613738174,1.17,41.58163452148438,0.0225,1.7228768397262766,470.0,0.0,0.30838348561999995,36.0,13.72500038146973,3.116666555404663,1.8061961914480607
-102.0,1.6517119609914537,1.18,41.58163452148438,0.01,1.8017080196602075,470.0,0.0,0.33044280057999986,36.0,13.72500038146973,3.116666555404663,1.6604513738449398
-102.0,1.6679515324541878,1.25,41.58163452148438,0.013,1.7911962936817374,470.0,0.0,0.33192880057999985,36.0,13.72500038146973,3.116666555404663,1.8525972650508482
